	S0	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17
F0	747100159.390382	980472590.245387	786079238.284725	999230222.852224	859150777.261045	1256505990.74316	777194307.143473	1208423525.72807	998961807.851317	823077776.554094	732038888.58914	1087846861.84736	891434011.936313	938942369.577859	809614844.575992	1018017726.8665	1011608416.25384	1044714141.52139
F1	324044745.398674	291852899.495274	225258397.186831	234541763.713302	328753376.829427	219966729.5355	294857078.548021	408302346.993601	428017886.413364	466248495.977292	307567345.75776	318046962.385458	355682036.388116	348595264.051543	260294024.671161	294262989.262691	281859911.522306	373613985.156671
F2	412871166.895287	520057456.656172	420305026.46461	441427030.432759	295288509.399271	542930276.197663	541602879.954001	730012999.337041	619412254.181476	632798354.694856	523186845.390528	562303224.84845	522116225.044723	704219561.895656	512312985.709395	382334718.930717	415339105.407861	420056271.486388
F3	374079114.62228	494604700.514261	428854613.902226	501816313.546172	415394663.751466	532442373.279676	390553837.63384	644976385.297181	537431490.223985	389732787.690227	329966579.821865	636677205.990453	537950789.778133	696031043.276744	569934093.978327	452671763.650095	410577017.881499	382732508.433708
F4	326310682.881966	482743626.201065	399868912.250643	404085329.525084	337805481.302768	493700649.337567	381639079.454005	571714173.092053	485912877.484402	449904126.849779	337275491.890748	531237486.326695	473694695.289861	601873265.152768	416689094.772956	366305221.644696	353651980.993393	384210019.272366
F5	179502120.480841	128562702.500808	154255356.403274	150840913.362184	210652392.098718	136381935.933976	163893097.859428	251492347.046087	236075913.33817	292314915.72031	190317208.864744	227353607.493973	214417326.548752	223549234.841916	188314549.517636	156126240.156693	144098056.098001	207570670.497197
F6	166182547.672884	121152806.778571	134675413.594856	133686855.924143	144193720.781166	126468533.232541	125900877.131086	203433488.877222	205509480.009845	233320564.852459	160782766.292275	179402656.646158	183732593.280542	183111488.70274	155480151.080239	151137937.070313	148672692.679145	212786049.419124
F7	261930575.260252	321923981.085311	315031944.22524	331241039.859447	329401663.581782	334733149.93326	206621139.933497	311736253.918208	268326268.320618	270373096.022485	203357725.969291	358162270.829375	219656854.101712	315086026.350266	237895327.922629	316061645.85392	327913803.517552	342716927.841302
F8	227129727.30141	291171239.010406	221587698.536492	227426559.154218	182126074.524016	273850995.977833	265058539.58763	335560716.578666	338901080.299742	351558994.48178	227372349.904164	256610450.026715	254021912.451805	344351923.843868	239145113.341731	202260742.93763	225002382.33936	255355110.967436
F9	100260273.379655	89925960.0510466	80365198.8125174	87903674.6605087	165932178.990754	84969676.8932877	101550464.722015	150826845.464912	135600628.551584	158576012.035137	116876460.393593	135173457.730429	131893182.709762	119300326.820486	103612013.475193	120254084.809771	75938880.224667	134905688.103778
F10	174456501.805042	236363327.265006	185459084.482379	215835221.657578	218334306.546467	256324644.615277	121284057.156246	191453825.046272	184422769.09383	176345956.270898	115241729.370348	188587300.479077	130582124.842081	181202916.87764	95130360.1704566	224106337.957225	242396768.626364	272677195.259143
F11	56939102.6997753	159268818.401813	86020174.3158425	135572841.740529	52244610.5987364	142218110.928175	140805466.891112	187949248.672567	133270043.1983	124228352.697872	145629992.064863	164031641.15072	136413917.779966	180698379.413508	69593392.1432118	108379275.150602	73277052.1018766	154457413.163827
