pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	0	0	0.03251827577514495			
Hyaluronan Metabolism	0	0	0.03251827577514495			
N-Glycan biosynthesis	0	0	0.03251827577514495			
Glycolysis and Gluconeogenesis	0	0	0.03251827577514495			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.03251827577514495			
R Group Synthesis	0	0	0.03251827577514495			
C5-Branched dibasic acid metabolism	0	0	0.03251827577514495			
Pyruvate Metabolism	0	0	0.03251827577514495			
Sialic acid metabolism	0	1	0.03251827577514495			
Chondroitin sulfate degradation	0	0	0.03251827577514495			
Di-unsaturated fatty acid beta-oxidation	0	1	0.03251827577514495			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.03251827577514495			
Linoleate metabolism	0	3	0.03251827577514495			
Hexose phosphorylation	0	0	0.03251827577514495			
Vitamin B2 (riboflavin) metabolism	0	0	0.03251827577514495			
Squalene and cholesterol biosynthesis	0	0	0.03251827577514495			
Galactose metabolism	0	0	0.03251827577514495			
Keratan sulfate degradation	0	0	0.03251827577514495			
Glycerolipid metabolism	0	0	0.03251827577514495			
Carnitine shuttle	0	0	0.03251827577514495			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.03251827577514495			
Alkaloid biosynthesis II	0	0	0.03251827577514495			
Vitamin B1 (thiamin) metabolism	0	0	0.03251827577514495			
Glycosphingolipid biosynthesis - globoseries	0	0	0.03251827577514495			
Histidine metabolism	0	0	0.03251827577514495			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.03251827577514495			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.03251827577514495			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.03251827577514495			
Bile acid biosynthesis	0	4	0.03251827577514495			
Parathio degradation	0	0	0.03251827577514495			
Propanoate metabolism	0	0	0.03251827577514495			
Blood Group Biosynthesis	0	0	0.03251827577514495			
Electron transport chain	0	0	0.03251827577514495			
Vitamin H (biotin) metabolism	0	0	0.03251827577514495			
Biopterin metabolism	0	0	0.03251827577514495			
Vitamin E metabolism	0	0	0.03251827577514495			
Androgen and estrogen biosynthesis and metabolism	0	0	0.03251827577514495			
Glycine, serine, alanine and threonine metabolism	0	0	0.03251827577514495			
Caffeine metabolism	0	0	0.03251827577514495			
Lipoate metabolism	0	0	0.03251827577514495			
Heparan sulfate biosynthesis	0	0	0.03251827577514495			
Drug metabolism - cytochrome P450	0	0	0.03251827577514495			
Vitamin B9 (folate) metabolism	0	0	0.03251827577514495			
Tryptophan metabolism	0	0	0.03251827577514495			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.03251827577514495			
Urea cycle/amino group metabolism	0	0	0.03251827577514495			
De novo fatty acid biosynthesis	0	12	0.03251827577514495			
Vitamin A (retinol) metabolism	0	2	0.03251827577514495			
Valine, leucine and isoleucine degradation	0	0	0.03251827577514495			
Fatty Acid Metabolism	0	5	0.03251827577514495			
Glycosaminoglycan degradation	0	0	0.03251827577514495			
Fatty acid oxidation	0	0	0.03251827577514495			
Fructose and mannose metabolism	0	0	0.03251827577514495			
ROS Detoxification	0	0	0.03251827577514495			
Xenobiotics metabolism	0	2	0.03251827577514495			
Saturated fatty acids beta-oxidation	0	2	0.03251827577514495			
CoA Catabolism	0	0	0.03251827577514495			
Omega-3 fatty acid metabolism	0	0	0.03251827577514495			
Butanoate metabolism	0	0	0.03251827577514495			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.03251827577514495			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.03251827577514495			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	0	0.03251827577514495			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	0	0.03251827577514495			
Geraniol degradation	0	0	0.03251827577514495			
D4&E4-neuroprostanes formation	0	1	0.03251827577514495			
Vitamin D	0	0	0.03251827577514495			
Dynorphin metabolism	0	0	0.03251827577514495			
Heparan sulfate degradation	0	0	0.03251827577514495			
Fatty acid oxidation, peroxisome	0	0	0.03251827577514495			
Polyunsaturated fatty acid biosynthesis	0	2	0.03251827577514495			
Purine metabolism	0	1	0.03251827577514495			
Alanine and Aspartate Metabolism	0	0	0.03251827577514495			
Glutathione Metabolism	0	0	0.03251827577514495			
Keratan sulfate biosynthesis	0	0	0.03251827577514495			
TCA cycle	0	0	0.03251827577514495			
3-Chloroacrylic acid degradation	0	0	0.03251827577514495			
Arachidonic acid metabolism	0	5	0.03251827577514495			
Sphingolipid metabolism	0	0	0.03251827577514495			
O-Glycan biosynthesis	0	0	0.03251827577514495			
Glycosphingolipid metabolism	0	2	0.03251827577514495			
Limonene and pinene degradation	0	0	0.03251827577514495			
Arginine and Proline Metabolism	0	0	0.03251827577514495			
Proteoglycan biosynthesis	0	0	0.03251827577514495			
Vitamin K metabolism	0	0	0.03251827577514495			
Glycerophospholipid metabolism	0	7	0.03251827577514495			
Glutamate metabolism	0	0	0.03251827577514495			
Porphyrin metabolism	0	1	0.03251827577514495			
Phosphatidylinositol phosphate metabolism	0	2	0.03251827577514495			
Benzoate degradation via CoA ligation	0	0	0.03251827577514495			
Prostaglandin formation from arachidonate	0	4	0.03251827577514495			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.03251827577514495			
Vitamin B6 (pyridoxine) metabolism	0	0	0.03251827577514495			
Pentose and Glucuronate Interconversions	0	0	0.03251827577514495			
Atrazine degradation	0	0	0.03251827577514495			
N-Glycan Degradation	0	0	0.03251827577514495			
Leukotriene metabolism	0	3	0.03251827577514495			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.03251827577514495			
Fatty acid activation	0	6	0.03251827577514495			
Carbon fixation	0	0	0.03251827577514495			
Nucleotide Sugar Metabolism	0	0	0.03251827577514495			
Ubiquinone Biosynthesis	0	0	0.03251827577514495			
1- and 2-Methylnaphthalene degradation	0	0	0.03251827577514495			
Pyrimidine metabolism	0	0	0.03251827577514495			
Aspartate and asparagine metabolism	0	0	0.03251827577514495			
Nitrogen metabolism	0	0	0.03251827577514495			
Drug metabolism - other enzymes	0	0	0.03251827577514495			
Aminosugars metabolism	0	0	0.03251827577514495			
Tyrosine metabolism	0	0	0.03251827577514495			
Beta-Alanine metabolism	0	0	0.03251827577514495			
Prostaglandin formation from dihomo gama-linoleic acid	0	1	0.03251827577514495			
C21-steroid hormone biosynthesis and metabolism	0	3	0.03251827577514495			
Starch and Sucrose Metabolism	0	0	0.03251827577514495			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.03251827577514495			
Omega-6 fatty acid metabolism	0	2	0.03251827577514495			
Phytanic acid peroxisomal oxidation	0	0	0.03251827577514495			
Pentose phosphate pathway	0	0	0.03251827577514495			
Methionine and cysteine metabolism	0	0	0.03251827577514495			
Lysine metabolism	0	0	0.03251827577514495			
Selenoamino acid metabolism	0	0	0.03251827577514495			
