pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	0	0	0.0348710192420805			
Hyaluronan Metabolism	0	0	0.0348710192420805			
N-Glycan biosynthesis	0	0	0.0348710192420805			
Glycolysis and Gluconeogenesis	0	0	0.0348710192420805			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.0348710192420805			
R Group Synthesis	0	0	0.0348710192420805			
C5-Branched dibasic acid metabolism	0	0	0.0348710192420805			
Pyruvate Metabolism	0	0	0.0348710192420805			
Sialic acid metabolism	0	1	0.0348710192420805			
Chondroitin sulfate degradation	0	0	0.0348710192420805			
Di-unsaturated fatty acid beta-oxidation	0	1	0.0348710192420805			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.0348710192420805			
Linoleate metabolism	0	3	0.0348710192420805			
Hexose phosphorylation	0	0	0.0348710192420805			
Vitamin B2 (riboflavin) metabolism	0	0	0.0348710192420805			
Squalene and cholesterol biosynthesis	0	0	0.0348710192420805			
Galactose metabolism	0	0	0.0348710192420805			
Keratan sulfate degradation	0	0	0.0348710192420805			
Glycerolipid metabolism	0	0	0.0348710192420805			
Carnitine shuttle	0	0	0.0348710192420805			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.0348710192420805			
Alkaloid biosynthesis II	0	0	0.0348710192420805			
Vitamin B1 (thiamin) metabolism	0	0	0.0348710192420805			
Glycosphingolipid biosynthesis - globoseries	0	0	0.0348710192420805			
Histidine metabolism	0	0	0.0348710192420805			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.0348710192420805			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.0348710192420805			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.0348710192420805			
Bile acid biosynthesis	0	4	0.0348710192420805			
Parathio degradation	0	0	0.0348710192420805			
Propanoate metabolism	0	0	0.0348710192420805			
Blood Group Biosynthesis	0	0	0.0348710192420805			
Electron transport chain	0	0	0.0348710192420805			
Vitamin H (biotin) metabolism	0	0	0.0348710192420805			
Biopterin metabolism	0	0	0.0348710192420805			
Vitamin E metabolism	0	0	0.0348710192420805			
Androgen and estrogen biosynthesis and metabolism	0	0	0.0348710192420805			
Glycine, serine, alanine and threonine metabolism	0	0	0.0348710192420805			
Caffeine metabolism	0	0	0.0348710192420805			
Lipoate metabolism	0	0	0.0348710192420805			
Heparan sulfate biosynthesis	0	0	0.0348710192420805			
Drug metabolism - cytochrome P450	0	0	0.0348710192420805			
Vitamin B9 (folate) metabolism	0	0	0.0348710192420805			
Tryptophan metabolism	0	0	0.0348710192420805			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.0348710192420805			
Urea cycle/amino group metabolism	0	0	0.0348710192420805			
De novo fatty acid biosynthesis	0	12	0.0348710192420805			
Vitamin A (retinol) metabolism	0	2	0.0348710192420805			
Valine, leucine and isoleucine degradation	0	0	0.0348710192420805			
Fatty Acid Metabolism	0	5	0.0348710192420805			
Glycosaminoglycan degradation	0	0	0.0348710192420805			
Fatty acid oxidation	0	0	0.0348710192420805			
Fructose and mannose metabolism	0	0	0.0348710192420805			
ROS Detoxification	0	0	0.0348710192420805			
Xenobiotics metabolism	0	2	0.0348710192420805			
Saturated fatty acids beta-oxidation	0	2	0.0348710192420805			
CoA Catabolism	0	0	0.0348710192420805			
Omega-3 fatty acid metabolism	0	0	0.0348710192420805			
Butanoate metabolism	0	0	0.0348710192420805			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.0348710192420805			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.0348710192420805			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	0	0.0348710192420805			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	0	0.0348710192420805			
Geraniol degradation	0	0	0.0348710192420805			
D4&E4-neuroprostanes formation	0	1	0.0348710192420805			
Vitamin D	0	0	0.0348710192420805			
Dynorphin metabolism	0	0	0.0348710192420805			
Heparan sulfate degradation	0	0	0.0348710192420805			
Fatty acid oxidation, peroxisome	0	0	0.0348710192420805			
Polyunsaturated fatty acid biosynthesis	0	2	0.0348710192420805			
Purine metabolism	0	1	0.0348710192420805			
Alanine and Aspartate Metabolism	0	0	0.0348710192420805			
Glutathione Metabolism	0	0	0.0348710192420805			
Keratan sulfate biosynthesis	0	0	0.0348710192420805			
TCA cycle	0	0	0.0348710192420805			
3-Chloroacrylic acid degradation	0	0	0.0348710192420805			
Arachidonic acid metabolism	0	5	0.0348710192420805			
Sphingolipid metabolism	0	0	0.0348710192420805			
O-Glycan biosynthesis	0	0	0.0348710192420805			
