massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	885.54802	16.302	1.0	0.18908516066674042	N1
row2	804.5751	19.724	1.0	-0.08508016276389803	N2
row3	883.53182	15.792	1.0	-0.1635843090637628	N3
row4	802.55911	18.807	1.0	-0.07449373396629429	N4
row5	762.50662	17.058	1.0	-0.22816839838106612	N5
row6	826.55882	18.392	1.0	-0.5463928653215078	N6
row7	747.5652	16.792	1.0	0.319475174376263	N7
row8	540.33037	10.662	1.0	0.18637300469581608	N8
row9	850.55826	18.167	1.0	-0.0013344898303740164	N9
row10	500.27797	9.825	1.0	0.6275837059325984	N10
row11	819.51703	16.348	1.0	0.027047316012233126	N11
row12	828.57385	19.224	1.0	0.6942991117035533	N12
row13	568.36144	11.98	1.0	0.907707113968898	N13
row14	887.56249	17.004	1.0	0.596144152194658	N14
row15	773.53171	17.523	1.0	0.5425837957940625	N15
row16	764.52207	17.408	1.0	0.7698641484338459	N16
row17	465.30387	13.098	1.0	0.4225265462393675	N17
row18	738.50735	17.228	1.0	0.8352409001588389	N18
row19	566.34622	10.886	1.0	1.0794908506016228	N19
row20	854.58935	20.033	1.0	-0.4904011812247986	N20
row21	857.51657	15.592	1.0	-0.5108232448923834	N21
row22	856.60557	21.713	0.0	1.1732542798358307	N22
row23	480.3093	10.665	1.0	0.5041942209490795	N23
row24	480.30913	11.502	1.0	0.5786864214754163	N24
row25	524.2777	9.895	1.0	0.28160962489170405	N25
row26	311.1685	9.113	1.0	0.478549201400177	N26
row27	766.53811	18.281	0.0	1.2765153438195909	N27
row28	514.28391	6.249	1.0	-0.9014568412874562	N28
row29	325.18407	9.794	1.0	0.5914707267172773	N29
row30	452.27793	10.317	1.0	0.028196021216947136	N30
row31	852.57342	18.599	1.0	0.08630144168839667	N31
row32	776.54354	18.335	1.0	0.49271253225463263	N32
row33	788.52134	17.266	1.0	-0.3124088414644605	N33
row34	859.53205	16.114	1.0	0.60515159014324	N34
row35	771.51653	16.826	1.0	0.1566625158842921	N35
row36	953.53476	16.285	1.0	0.06779122159073801	N36
row37	339.1997	10.45	1.0	0.7539911777477024	N37
row38	747.51686	17.74	0.0	1.2434704751722616	N38
row39	810.52722	17.947	1.0	0.4222376652441705	N39
row40	865.50078	15.758	1.0	-0.4274286261740172	N40
