m/z	retention_time	p-value	t-score	custom_id
885.54802	16.302	1	0.18385510779095104	N1
804.5751	19.724	1	-0.08353741350441372	N2
883.53182	15.792	1	-0.1666721585889238	N3
802.55911	18.807	1	-0.07380044666893391	N4
762.50662	17.058	1	-0.2301017775925636	N5
826.55882	18.392	1	-0.5448037461780777	N6
747.5652	16.792	1	0.315847080924263	N7
540.33037	10.662	1	0.18061822256156393	N8
850.55826	18.167	1	-0.004099592509072707	N9
500.27797	9.825	1	0.618707264460661	N10
819.51703	16.348	1	0.02344556439758292	N11
828.57385	19.224	1	0.6877969334370995	N12
568.36144	11.98	1	0.8979302988721062	N13
887.56249	17.004	1	0.5928069352435044	N14
773.53171	17.523	1	0.541333560614913	N15
764.52207	17.408	1	0.7623493088019245	N16
465.30387	13.098	1	0.417446374434502	N17
738.50735	17.228	1	0.8269952954129802	N18
566.34622	10.886	1	1.0681380311577862	N19
854.58935	20.033	1	-0.48882627427745173	N20
857.51657	15.592	1	-0.5109381566990439	N21
856.60557	21.713	0	1.1625860131988521	N22
480.3093	10.665	1	0.49671729327146297	N23
480.30913	11.502	1	0.571155099891558	N24
524.2777	9.895	1	0.2748278382581612	N25
311.1685	9.113	1	0.47407518561442097	N26
766.53811	18.281	0	1.2669860467559246	N27
514.28391	6.249	1	-0.8941457045004098	N28
325.18407	9.794	1	0.5859569291319806	N29
452.27793	10.317	1	0.024010225046678338	N30
852.57342	18.599	1	0.08421771363341317	N31
776.54354	18.335	1	0.4899625175493228	N32
788.52134	17.266	1	-0.31373527662844064	N33
859.53205	16.114	1	0.5981337923979931	N34
771.51653	16.826	1	0.15238157872457764	N35
953.53476	16.285	1	0.06430609024042884	N36
339.1997	10.45	1	0.7471034594453961	N37
747.51686	17.74	0	1.2356526619187116	N38
810.52722	17.947	1	0.4207546743366634	N39
865.50078	15.758	1	-0.42828061859642125	N40
599.3192	10.812	1	0.09998008557441068	N41
800.54367	18.044	1	-1.0142536837259832	N42
782.49663	16.731	1	0.3930002613172251	N43
588.33005	10.104	1	0.42934017291070575	N44
795.51673	16.512	1	0.2864802254658234	N45
745.50158	16.495	1	0.9759649753320695	N46
740.52112	17.584	1	0.03747277543486456	N47
619.28792	9.223	1	0.36918473118275097	N48
478.29404	10.637	1	0.533431819556568	N49
265.14805	8.045	1	0.0745948555096474	N50
861.54689	16.201	1	0.7692429757277176	N51
872.5609	19.757	1	-0.5636303920083411	N52
612.3297	10.164	1	0.41345006925445404	N53
566.34542	11.731	0	-1.1326757642631824	N54
564.33018	10.071	1	0.5954415209858551	N56
817.50131	16.074	1	-0.4564558225440124	N57
714.50712	17.386	1	-0.6652630889330843	N58
790.53785	18.096	1	0.10877855646087271	N59
834.54945	16.412	0	-1.134046274765602	N60
890.53855	14.881	0	-1.1432522362735849	N63
836.56405	16.68	1	-0.7735524204367249	N64
528.30945	10.756	1	0.7143771583102104	N65
824.54279	17.941	1	-0.05169330981585986	N66
716.52249	18.123	1	1.0036408998849031	N67
508.34047	11.982	1	0.9163785698115474	N68
806.49639	16.606	1	0.2772503893595011	N69
638.36648	11.496	1	-0.42404261034740603	N70
876.57306	18.305	1	0.22019035123189767	N71
514.28391	5.244	1	-0.5040124709883005	N72
760.49102	16.23	1	-0.2834586581165442	N73
858.55083	16.363	0	-1.238700759268136	N74
736.4915	16.342	1	0.5008522581474041	N75
526.29353	10.275	1	0.6662714856159907	N76
981.51665	12.711	1	-0.8335850841476201	N77
821.53169	16.916	1	0.3336244267421456	N78
871.53153	16.031	1	-0.38481444113886015	N79
506.32504	10.912	1	1.0505090257910148	N80
873.5485	16.597	1	0.4460571362349295	N82
697.35547	11.394	1	-0.31873482305374684	N84
588.46572	15.306	1	-0.2748084706218336	N85
878.58922	19.408	1	0.4686109332292661	N86
778.56007	19.583	1	-0.4590076715931329	N87
509.28798	10.355	1	0.9978619168992919	N88
624.35095	11.27	1	-0.34752953748670184	N89
834.52598	17.909	1	0.26514273852667125	N90
797.53167	17.057	1	1.0005126904665638	N91
536.29912	10.883	1	-0.7173125950239585	N93
914.53851	15.131	1	-0.9500897833953259	N94
524.29884	11.244	0	1.1120751270890592	N95
498.28921	7.167	1	-0.8754904116827914	N96
793.50131	16.16	1	-0.0460109700626928	N97
574.44997	14.716	1	-0.39068956553435913	N98
