pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glycerophospholipid metabolism	3	25	0.016217124611377195	E2,E201,E182	C02737,C15647,C06426/C06427	Phosphatidylserine$2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Sialic acid metabolism	1	2	0.016385177716158307	E2	C02737	Phosphatidylserine
Saturated fatty acids beta-oxidation	1	2	0.016385177716158307	E207	C02990	L-Palmitoylcarnitine
Omega-3 fatty acid metabolism	1	4	0.03428283337534661	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Arachidonic acid metabolism	1	5	0.04268548861440215	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Linoleate metabolism	1	8	0.07024619779850433	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Squalene and cholesterol biosynthesis	1	8	0.07024619779850433	E14		
Fatty acid activation	1	8	0.07024619779850433	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Carnitine shuttle	1	9	0.07780858751365431	E207	C02990	L-Palmitoylcarnitine
De novo fatty acid biosynthesis	1	11	0.09335349970590706	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Vitamin A (retinol) metabolism	1	14	0.10822619947903538	E59		
Vitamin D3 (cholecalciferol) metabolism	0	3	0.16595244097134695			
Hyaluronan Metabolism	0	0	0.16595244097134695			
N-Glycan biosynthesis	0	0	0.16595244097134695			
Glycolysis and Gluconeogenesis	0	0	0.16595244097134695			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.16595244097134695			
R Group Synthesis	0	0	0.16595244097134695			
C5-Branched dibasic acid metabolism	0	0	0.16595244097134695			
Pyruvate Metabolism	0	0	0.16595244097134695			
Chondroitin sulfate degradation	0	0	0.16595244097134695			
Di-unsaturated fatty acid beta-oxidation	0	3	0.16595244097134695			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.16595244097134695			
Hexose phosphorylation	0	0	0.16595244097134695			
Vitamin B2 (riboflavin) metabolism	0	0	0.16595244097134695			
Galactose metabolism	0	0	0.16595244097134695			
Keratan sulfate degradation	0	0	0.16595244097134695			
Glycerolipid metabolism	0	0	0.16595244097134695			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.16595244097134695			
Alkaloid biosynthesis II	0	0	0.16595244097134695			
Vitamin B1 (thiamin) metabolism	0	0	0.16595244097134695			
Glycosphingolipid biosynthesis - globoseries	0	0	0.16595244097134695			
Histidine metabolism	0	2	0.16595244097134695			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.16595244097134695			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.16595244097134695			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.16595244097134695			
Bile acid biosynthesis	0	12	0.16595244097134695			
Parathio degradation	0	0	0.16595244097134695			
Propanoate metabolism	0	0	0.16595244097134695			
Blood Group Biosynthesis	0	0	0.16595244097134695			
Electron transport chain	0	0	0.16595244097134695			
Vitamin H (biotin) metabolism	0	3	0.16595244097134695			
Biopterin metabolism	0	0	0.16595244097134695			
Vitamin E metabolism	0	5	0.16595244097134695			
Androgen and estrogen biosynthesis and metabolism	0	0	0.16595244097134695			
Glycine, serine, alanine and threonine metabolism	0	5	0.16595244097134695			
Caffeine metabolism	0	0	0.16595244097134695			
Lipoate metabolism	0	3	0.16595244097134695			
Heparan sulfate biosynthesis	0	0	0.16595244097134695			
Drug metabolism - cytochrome P450	0	0	0.16595244097134695			
Vitamin B9 (folate) metabolism	0	0	0.16595244097134695			
Tryptophan metabolism	0	0	0.16595244097134695			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.16595244097134695			
Urea cycle/amino group metabolism	0	4	0.16595244097134695			
Valine, leucine and isoleucine degradation	0	6	0.16595244097134695			
Fatty Acid Metabolism	0	6	0.16595244097134695			
Glycosaminoglycan degradation	0	0	0.16595244097134695			
