massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	760.58465	19.341	0.0	1.1983104903684456	P1
row2	876.80088	23.952	1.0	0.017966819377811447	P2
row3	782.56882	18.116	1.0	-0.7220875905228858	P3
row4	758.56897	18.518	1.0	-0.6198143539769482	P4
row5	806.56868	17.913	1.0	-0.45407706907277495	P6
row6	874.78481	23.42	1.0	-0.5101272777146191	P7
row7	848.76963	23.348	1.0	-0.0994175136503635	P8
row8	784.58393	19.02	0.0	1.2711238926216164	P9
row9	810.59934	19.6	1.0	-0.1121792673246048	P10
row10	902.81583	23.995	1.0	-0.008786855093341407	P11
row11	812.61544	21.49	0.0	1.5693179844097849	P12
row12	703.57457	16.649	1.0	0.06706116830029561	P13
row13	808.58384	18.354	1.0	0.11362208959570279	P14
row14	846.75373	22.872	1.0	-0.9814230360494983	P15
row15	850.78588	23.923	1.0	0.5952041426993706	P16
row16	738.64643	16.871	1.0	0.8283502242758294	P17
row17	764.52141	16.962	1.0	-1.0717148397133731	P18
row18	872.76922	22.977	0.0	-1.4462289203290846	P19
row19	900.80052	23.515	1.0	-0.6232436201241475	P20
row20	732.55364	18.061	1.0	0.9240125960360834	P21
row21	820.73836	22.798	1.0	-0.786637375760256	P22
row22	496.33969	10.5	1.0	-0.31883563988429636	P23
row23	904.83199	24.673	1.0	0.5119253319798861	P24
row24	832.58431	18.079	1.0	0.8445216756821305	P25
row25	1520.165	19.408	0.0	1.0920575728675779	P26
row26	756.55353	17.775	1.0	-0.692686205629699	P27
row27	524.37105	11.862	1.0	0.44290842083824733	P28
row28	834.59966	19.173	1.0	0.30371898393745106	P29
row29	768.55383	18.153	0.0	1.1989430922461122	P30
row30	766.53753	17.304	0.0	1.4358571706514334	P31
row31	638.57153	19.294	1.0	-0.35374442746737467	P32
row32	740.52205	17.125	0.0	1.237540951041042	P33
row33	813.68382	23.413	1.0	-0.14003900323335972	P34
row34	862.78563	23.666	1.0	-0.21416129496920708	P35
row35	904.59029	15.514	1.0	-0.4874748124092508	P36
row36	780.55264	17.858	1.0	0.24950171909158356	P37
row37	734.56962	19.235	1.0	0.3266565043858794	P38
row38	822.75466	23.301	1.0	0.1700698228537405	P39
row39	844.73831	22.453	0.0	-1.3380447552688686	P40
row40	930.84806	24.66	1.0	0.3994671079987878	P41
row41	534.52389	17.445	1.0	1.0245478552596599	P42
row42	522.35572	10.769	1.0	-0.036639951857969366	P43
row43	898.78507	23.098	0.0	-1.4833397567925768	P44
row44	774.60121	21.321	1.0	0.7937046673140068	P45
row45	804.55288	17.31	1.0	-0.9822512702629421	P46
row46	790.53726	17.158	1.0	-0.9347208586345848	P47
row47	818.72271	22.344	0.0	-1.1415481013221918	P48
row48	746.60585	22.845	1.0	0.5193202246193442	P49
row49	730.53824	17.428	1.0	-0.2721207914349274	P50
row50	870.75379	22.606	0.0	-1.650517450703646	P51
row51	746.57037	18.905	1.0	0.46387824692890567	P52
row52	890.81704	24.3	1.0	-0.2424234930937016	P53
row53	544.33966	9.935	1.0	-1.0770012033801493	P54
row54	878.81697	24.669	1.0	0.6411535510838562	P55
row55	888.80117	23.721	1.0	-0.3287597502820607	P56
row56	429.37233	15.204	1.0	0.3263559602109057	P57
row57	830.56865	17.588	1.0	0.6578869463910437	P58
row58	429.37233	16.368	1.0	0.5000234939847742	P59
row59	612.55593	19.183	1.0	0.26928074656156714	P60
row60	812.54346	16.714	1.0	1.0606181019063208	P61
row61	627.53429	15.506	1.0	-0.5541900371340819	P62
row62	1565.13692	18.088	1.0	-0.8117537334204098	P63
row63	1516.1338	18.476	1.0	-0.6686237272932796	P64
row64	1546.17871	19.186	1.0	0.8137718835179931	P65
row65	610.54031	18.538	1.0	-0.36381282262159015	P66
row66	568.33953	10.002	0.0	-1.1791966157722469	P68
row67	926.81688	23.685	1.0	-0.49553141060629247	P69
row68	552.53444	17.445	1.0	1.08117425399717	P70
row69	792.70756	22.261	0.0	-1.2114515370308507	P72
row70	768.5904	19.141	1.0	0.021460015961969788	P73
row71	928.83243	24.171	1.0	0.23259305600212987	P74
row72	792.55353	17.89	1.0	-0.6721775322490967	P75
row73	689.55902	16.185	1.0	0.18958135406464183	P76
row74	742.5383	17.553	1.0	0.7059417293336172	P77
row75	1613.13724	17.855	0.0	-1.1180815156585109	P78
row76	796.58426	18.918	0.0	-1.1872284369847266	P79
row77	1571.18446	19.613	1.0	-0.699638661274085	P80
row78	1537.19337	18.938	0.0	1.167705758189723	P81
