input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row17	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row17	764.52141	16.962	1.0	-1.0717148397133731	P18
row22	E3	row22_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine	row22	496.33969	10.5	1.0	-0.31883563988429636	P23
row27	E4	row27_M+Na[1+]	tetpent6crn;tetpent3crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine	row27	524.37105	11.862	1.0	0.44290842083824733	P28
row46	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row46	790.53726	17.158	1.0	-0.9347208586345848	P47
row56	E12	row1263_M+H[1+];row56_M+H2O+H[1+]	C11455;C11508;44mctr;C15783	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol$4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol$4,4-dimethylcholesta-8,14,24-trienol$5-Dehydroavenasterol	row56	429.37233	15.204	1.0	0.3263559602109057	P57
row56	E15	row1263_M-H4O2+H[1+];row1936_M+K[1+];row314_M+Na[1+];row327_M+H[1+];row56_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row56	429.37233	15.204	1.0	0.3263559602109057	P57
row58	E13	row1406_M+H[1+];row58_M+H2O+H[1+]	C11455;C11508;44mctr;C15783	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol$4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol$4,4-dimethylcholesta-8,14,24-trienol$5-Dehydroavenasterol	row58	429.37233	16.368	1.0	0.5000234939847742	P59
row58	E16	row1406_M-H4O2+H[1+];row196_M+H[1+];row58_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row58	429.37233	16.368	1.0	0.5000234939847742	P59
row72	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row72	792.55353	17.89	1.0	-0.6721775322490967	P75
row95	E20	row358_M-H2O+H[1+];row95_M-H4O2+H[1+]	C00422	triacylglycerol	row95	603.53438	19.296	1.0	-0.36638804825909316	P98
