SOURCE	TARGET	ENZYMES
C14769	C14773	3.3.2.9;3.3.2.10
C14769	C00219	1.14.14.1
C14769	C14775	3.3.2.9;3.3.2.10
C14769	C14772	3.3.2.9;3.3.2.10
C14769	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14769	C14774	3.3.2.9;3.3.2.10
C14769	C14771	3.3.2.9;1.14.14.1;3.3.2.10
C14769	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14773	C14775	3.3.2.9;3.3.2.10
C14773	C14772	3.3.2.9;3.3.2.10
C14773	C14768	3.3.2.9;3.3.2.10
C14773	C14774	3.3.2.9;3.3.2.10
C14773	C14771	3.3.2.9;3.3.2.10
C14773	C14770	3.3.2.9;3.3.2.10
C00219	C14768	1.14.14.1
C00219	C14771	3.1.2.2;1.14.14.1
C00219	C14770	3.1.2.2;1.14.14.1
C00219	C14749	1.14.14.1
C00219	C14778	1.14.14.1
C00219	C14748	1.14.15.3
C14775	C14772	3.3.2.9;3.3.2.10
C14775	C14768	3.3.2.9;3.3.2.10
C14775	C14774	3.3.2.9;3.3.2.10
C14775	C14771	3.3.2.9;3.3.2.10
C14775	C14770	3.3.2.9;3.3.2.10
C14772	C14768	3.3.2.9;3.3.2.10
C14772	C14774	3.3.2.9;3.3.2.10
C14772	C14771	3.3.2.9;3.3.2.10
C14772	C14770	3.3.2.9;3.3.2.10
C14768	C14774	3.3.2.9;3.3.2.10
C14768	C14771	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14774	C14771	3.3.2.9;3.3.2.10
C14774	C14770	3.3.2.9;3.3.2.10
C14771	C14770	2.3.1.16;1.3.3.6;1.14.14.1;3.3.2.10;1.1.1.35;4.2.1.17;3.1.2.2;2.3.1.154;6.2.1.-;3.3.2.9;5.1.99.4
