SOURCE	TARGET	ENZYMES
C06428	C06426	3.1.2.2
C06428	C06427	3.1.2.2
C06428	C00712	3.1.2.2
C06428	C06429	3.1.2.2
C06428	C00219	3.1.2.2
C06426	C06427	3.1.2.2;6.2.1.3
C06426	C00712	3.1.2.2
C06426	C06429	3.1.2.2
C06426	C00219	3.1.2.2;6.2.1.3
C06427	C00712	3.1.2.2
C06427	C06429	3.1.2.2
C06427	C00219	3.1.1.4;3.1.2.2;6.2.1.3
C06427	C00350	3.1.1.4;3.1.1.32
C06427	C02737	3.1.1.4;3.1.1.32
C06427	C16300	1.14.19.-
C00712	C06429	3.1.2.2
C00712	C00219	;3.1.2.2
C06429	C00219	3.1.2.2
C00219	C00350	;3.1.1.4
C00219	C14770	3.1.2.2;1.14.14.1
C00219	C14748	1.14.15.3
C00219	C14749	1.14.14.1
C00219	C14771	3.1.2.2;1.14.14.1
C00219	C14768	1.14.14.1
C00219	C14769	1.14.14.1
C00219	C14778	1.14.14.1
C00350	C02737	;3.1.1.4;4.1.1.65;3.1.4.4;2.7.8.-;3.1.1.32
C14770	C14771	2.3.1.16;1.3.3.6;1.14.14.1;3.3.2.10;1.1.1.35;4.2.1.17;3.1.2.2;2.3.1.154;6.2.1.-;3.3.2.9;5.1.99.4
C14770	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14770	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C14769	3.3.2.9;1.14.14.1;3.3.2.10
