SOURCE	TARGET	ENZYMES
C15647	C04756	3.1.4.4
C04756	C01595	3.1.1.4
C04756	C00219	3.1.1.4
C01595	C00219	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C01595	C00712	;3.1.2.14;3.1.2.2
C01595	C04517	;3.1.1.4
C01595	CE6415	
C01595	C16165	3.1.2.2
C01595	C00958	;3.1.1.4
C01595	C14825	1.14.14.1
C01595	C16169	3.1.2.2
C01595	C04230	3.1.1.4
C01595	C00028	;1.13.11.33;1.14.19.3;1.3.99.13
C01595	C04635	;3.1.1.4
C01595	lnlccoa	6.2.1.3
C01595	C14827	1.13.11.34
C01595	C00030	;1.13.11.33;1.14.19.3;1.3.99.13
C01595	C14826	1.14.14.1
C01595	C00510	;3.1.2.2
C01595	C00060	;3.1.1.4
C01595	C00350	;3.1.1.4
C01595	C03242	3.1.2.2;6.2.1.3
C01595	C04438	3.1.1.4
C01595	C00020	;3.1.2.2;6.2.1.3
C01595	C00249	;3.1.2.14;3.1.2.2;6.2.1.3
C01595	lnlcACP	3.1.2.14
C01595	C03035	;3.1.2.2;1.14.19.3;6.2.1.3
C01595	C00162	3.1.1.4;1.14.14.1
C01595	C06428	3.1.2.2
C01595	C00229	3.1.2.14
C01595	C06429	3.1.2.2
C01595	C06254	;3.1.1.4
C01595	C02041	3.1.2.2
C01595	C06426	3.1.2.2;1.14.19.3;6.2.1.3
C01595	C05212	3.1.1.4
C01595	C06427	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C01595	C02050	;3.1.1.4;1.13.11.12;1.14.14.1;6.2.1.3;3.1.2.2;3.1.2.14;1.13.11.33;1.13.11.34;1.14.19.3;1.3.99.13
C01595	C00154	;1.3.99.13;3.1.2.2;6.2.1.3
C01595	C04717	;1.13.11.33;1.13.11.12
C01595	C06425	3.1.2.2;6.2.1.3
C01595	C00412	;3.1.2.2;6.2.1.3
C01595	C04317	;3.1.1.4
C01595	C16162	3.1.2.2;1.14.19.3
C01595	C00010	;3.1.2.2;6.2.1.3
C01595	C00157	;3.1.1.4
C01595	C02249	3.1.2.2;6.2.1.3
C01595	C01530	3.1.2.14;3.1.2.2;6.2.1.3
C01595	C03595	3.1.2.2;6.2.1.3
C00219	C00712	;3.1.2.2
C00219	C04517	;3.1.1.4
C00219	C16165	3.1.2.2
C00219	C00958	;3.1.1.4
C00219	C16169	3.1.2.2
C00219	C04230	3.1.1.4
C00219	C00028	;1.13.11.31;1.13.11.33;1.14.99.1
C00219	C04635	;3.1.1.4
C00219	C00030	;1.13.11.31;1.13.11.33;1.14.99.1
C00219	C00510	;3.1.2.2
C00219	C00060	;3.1.1.4;3.1.-
C00219	C00350	;3.1.1.4
C00219	C03242	3.1.2.2;6.2.1.3
C00219	C04438	3.1.1.4
C00219	C00020	;3.1.2.2;6.2.1.3
C00219	C00249	;3.1.2.2;6.2.1.3
C00219	C03035	;3.1.2.2;6.2.1.3
C00219	C00162	3.1.1.4;1.14.14.1;1.14.15.3
C00219	C06428	3.1.2.2
C00219	C06429	3.1.2.2
C00219	C06254	;3.1.1.4
C00219	C02041	3.1.2.2
C00219	C06426	3.1.2.2;6.2.1.3
C00219	C05212	3.1.1.4
C00219	C06427	3.1.1.4;3.1.2.2;6.2.1.3
C00219	C02050	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C00219	C00154	;3.1.2.2;6.2.1.3
C00219	C06425	3.1.2.2;6.2.1.3
C00219	C00412	;3.1.2.2;6.2.1.3
C00219	C04317	;3.1.1.4
C00219	C16162	3.1.2.2
C00219	C00010	;3.1.2.2;6.2.1.3
C00219	C00157	;3.1.1.4
C00219	C02249	3.1.2.2;6.2.1.3
