massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	885.54802	16.302	0.0	0.0306453701	N1
row2	804.5751	19.724	1.0	-0.0090219141	N2
row3	883.53182	15.792	0.0	0.0291456373	N3
row4	802.55911	18.807	1.0	0.0005832244	N4
row5	762.50662	17.058	1.0	0.0265896626	N5
row6	826.55882	18.392	1.0	0.017314694	N6
row7	747.5652	16.792	1.0	0.0120606573	N7
row8	540.33037	10.662	0.0	0.0289107567	N8
row9	850.55826	18.167	1.0	0.0230419467	N9
row10	500.27797	9.825	0.0	0.0334096127	N10
row11	819.51703	16.348	0.0	0.0287286183	N11
row12	828.57385	19.224	1.0	0.0222831321	N12
row13	568.36144	11.98	1.0	0.023632544	N13
row14	887.56249	17.004	1.0	-0.0006633845	N14
row15	773.53171	17.523	1.0	-0.0119034808	N15
row16	764.52207	17.408	1.0	0.0205251748	N16
row17	465.30387	13.098	1.0	0.0195347316	N17
row18	738.50735	17.228	1.0	0.0203318333	N18
row19	566.34622	10.886	1.0	0.0287139188	N19
row20	854.58935	20.033	1.0	0.0183445998	N20
row21	857.51657	15.592	1.0	0.0240472659	N21
row22	856.60557	21.713	1.0	0.0222043051	N22
row23	480.3093	10.665	1.0	0.0280813852	N23
row24	480.30913	11.502	0.0	0.029171011	N24
row25	524.2777	9.895	0.0	0.0345829396	N25
row26	311.1685	9.113	1.0	0.0120452938	N26
row27	766.53811	18.281	1.0	0.0137570526	N27
row28	514.28391	6.249	1.0	-0.0144087937	N28
row29	325.18407	9.794	1.0	0.010969202	N29
row30	452.27793	10.317	0.0	0.0316084056	N30
row31	852.57342	18.599	1.0	0.0173555136	N31
row32	776.54354	18.335	1.0	-0.0051287648	N32
row33	788.52134	17.266	1.0	0.0255750996	N33
row34	859.53205	16.114	1.0	0.021535826	N34
row35	771.51653	16.826	1.0	0.0281624185	N35
row36	953.53476	16.285	1.0	0.0268167046	N36
row37	339.1997	10.45	1.0	0.0112296132	N37
row38	747.51686	17.74	1.0	-0.0067223679	N38
row39	810.52722	17.947	1.0	-0.0099817433	N39
row40	865.50078	15.758	1.0	0.0282968413	N40
row41	599.3192	10.812	1.0	0.0266121195	N41
row42	800.54367	18.044	1.0	0.010386085	N42
row43	782.49663	16.731	0.0	0.0313812759	N43
row44	588.33005	10.104	0.0	0.0334452043	N44
row45	795.51673	16.512	1.0	0.0269833358	N45
row46	745.50158	16.495	1.0	0.0178543335	N46
row47	740.52112	17.584	1.0	0.0281150829	N47
row48	619.28792	9.223	0.0	0.0325467239	N48
row49	478.29404	10.637	0.0	0.030657209	N49
row50	265.14805	8.045	1.0	-0.0041519855	N50
row51	861.54689	16.201	1.0	0.0004873093	N51
row52	872.5609	19.757	1.0	-0.0140179365	N52
row53	612.3297	10.164	0.0	0.0322263399	N53
row54	566.34542	11.731	1.0	0.0155725567	N54
row55	564.33018	10.071	0.0	0.032195661	N56
row56	817.50131	16.074	1.0	0.0280502738	N57
row57	714.50712	17.386	1.0	0.0113457396	N58
row58	790.53785	18.096	1.0	0.0109684135	N59
row59	834.54945	16.412	1.0	-0.0208626405	N60
row60	890.53855	14.881	1.0	-0.0108317893	N63
row61	836.56405	16.68	1.0	-0.0229237488	N64
row62	528.30945	10.756	0.0	0.0311203178	N65
row63	824.54279	17.941	1.0	0.0046597604	N66
row64	716.52249	18.123	1.0	-0.0232356173	N67
row65	508.34047	11.982	1.0	0.023865327	N68
row66	806.49639	16.606	0.0	0.0292685727	N69
row67	638.36648	11.496	1.0	-0.0277244136	N70
row68	876.57306	18.305	1.0	0.0185994451	N71
row69	514.28391	5.244	1.0	-0.0148942288	N72
row70	760.49102	16.23	0.0	0.0293144801	N73
row71	858.55083	16.363	1.0	-0.0213365059	N74
row72	736.4915	16.342	1.0	0.0282681458	N75
row73	526.29353	10.275	0.0	0.0323061135	N76
row74	981.51665	12.711	1.0	-0.0209675899	N77
row75	821.53169	16.916	0.0	0.0294634754	N78
row76	871.53153	16.031	0.0	0.0301161671	N79
row77	506.32504	10.912	0.0	0.028905029	N80
row78	873.5485	16.597	1.0	0.0215133072	N82
row79	697.35547	11.394	1.0	-0.0257840352	N84
row80	588.46572	15.306	1.0	0.0194437777	N85
row81	878.58922	19.408	1.0	0.0040389226	N86
row82	778.56007	19.583	1.0	-0.0219338488	N87
row83	509.28798	10.355	1.0	0.0171975379	N88
row84	624.35095	11.27	1.0	-0.0262430292	N89
row85	834.52598	17.909	1.0	0.0200314198	N90
row86	797.53167	17.057	1.0	0.0179885031	N91
row87	536.29912	10.883	1.0	-0.0217823113	N93
row88	914.53851	15.131	1.0	0.0153494414	N94
row89	524.29884	11.244	1.0	0.0241555826	N95
row90	498.28921	7.167	1.0	-0.0112574204	N96
row91	793.50131	16.16	0.0	0.029263197	N97
row92	574.44997	14.716	1.0	0.0210949989	N98
row93	909.5458	16.191	1.0	0.0282487081	N99
row94	719.48601	16.522	1.0	0.0063163975	N100
row95	791.48559	15.7	0.0	0.0295327973	N101
row96	578.34563	12.204	1.0	-0.0245244322	N102
row97	908.54916	13.253	1.0	-0.0152043724	N103
row98	815.55185	16.788	1.0	0.0067239466	N105
row99	951.51885	15.806	0.0	0.0303189773	N106
row100	592.3249	10.888	1.0	-0.0102778609	N107
row101	281.24834	12.466	1.0	0.0271320638	N108
row102	621.30343	9.827	1.0	0.0272587399	N109
row103	664.38208	11.865	0.0	-0.0287178968	N110
row104	790.56026	19.176	1.0	0.0261825587	N111
row105	870.54506	18.795	1.0	-0.0068053613	N112
row106	917.53666	14.994	1.0	-0.0119333161	N113
row107	830.49343	17.067	1.0	0.0247461547	N114
row108	608.35584	11.028	0.0	-0.0296278833	N115
row109	544.26725	9.544	0.0	0.0310321192	N116
row110	860.5656	16.651	1.0	-0.0265907607	N117
row111	610.33516	10.456	1.0	-0.0259395538	N118
row112	1015.5059	16.285	1.0	0.0268178606	N119
row113	733.54941	16.24	1.0	0.0072646292	N120
row114	568.26593	9.757	0.0	0.0335618967	N121
row115	835.53252	16.144	1.0	0.0186296352	N122
row116	594.34025	11.008	0.0	-0.0297235322	N123
row117	862.57969	17.631	0.0	-0.0290242617	N124
row118	769.50127	16.323	1.0	0.0277251757	N125
row119	590.34563	10.667	0.0	0.0289855413	N126
row120	407.28015	7.557	1.0	0.0236362848	N127
row121	894.54504	18.379	1.0	0.012817218	N128
row122	295.2278	9.254	1.0	-0.0210558077	N129
row123	742.53835	18.497	1.0	-0.00360618	N131
row124	502.2936	10.389	0.0	0.0297319163	N132
row125	632.35573	11.286	1.0	-0.0070191551	N133
row126	736.51747	14.061	1.0	0.0184664673	N134
row127	327.23265	11.673	0.0	0.0302453922	N136
row128	967.53687	12.906	1.0	-0.0169677175	N137
row129	782.49397	17.37	1.0	-0.0085654016	N138
row130	889.57676	17.812	1.0	-0.0208608672	N139
row131	768.55414	18.897	1.0	0.0241758278	N140
row132	778.50145	15.93	1.0	0.0015870586	N141
row133	848.52731	13.649	1.0	-0.0153353323	N142
row134	582.50956	17.101	1.0	-0.017195974	N143
row135	794.54687	19.754	1.0	-0.0253281416	N144
row136	918.5452	18.156	1.0	0.0204405545	N145
row137	874.5578	17.79	1.0	0.0222974559	N146
row138	562.31447	11.253	1.0	-0.0152459586	N147
row139	548.29641	11.503	1.0	0.028556737	N148
row140	608.31796	10.703	1.0	0.0201132786	N150
row141	407.28007	6.809	1.0	0.0160864083	N152
row142	833.51606	15.621	1.0	0.023786937	N153
row143	848.54243	17.471	1.0	0.0193293598	N154
row144	680.3769	11.097	1.0	-0.0174888994	N155
row145	1035.66291	10.672	0.0	0.0297136636	N156
row146	841.5011	15.857	0.0	0.0303893146	N157
row147	538.31465	9.64	1.0	0.0281590525	N158
row148	843.51764	16.143	0.0	0.0294218285	N159
row149	594.34045	11.842	1.0	-0.0283483563	N160
row150	867.51638	16.142	1.0	0.0283560529	N161
row151	794.49637	15.169	1.0	-0.0059846221	N163
row152	911.56119	16.709	1.0	0.0193614852	N164
row153	309.17429	8.749	1.0	0.0133535237	N165
row154	552.29283	10.658	0.0	-0.0317450967	N166
