pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Prostaglandin formation from arachidonate	3	5	0.0035291152004033274	E36,E204,E49	C13856,C11695,C00219	2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol$Anandamide; Arachidonylethanolamide; N-(5Z,8Z,11Z,14Z-icosatetraenoyl)-ethanolamide$arachidonic acid
Leukotriene metabolism	2	3	0.007730442819931098	E222,E49	CE5967,C00219	3(S),10(R)-OH-octadeca-6-trans-4,12-cis-trienoyl-CoA$arachidonic acid
Glycosphingolipid metabolism	3	8	0.01226787664902109	E105,E107,E111	C12144,C12144,C02934/C00319	Phytosphingosine; 4-D-Hydroxysphinganine$Phytosphingosine; 4-D-Hydroxysphinganine$3-Dehydrosphinganine/Sphingosine
Carnitine shuttle	3	9	0.017981682211578857	E3,E47,E249	dcsptn1crn/clpndcrn,c226crn,tmndnccrn	docosa-4,7,10,13,16-pentaenoyl carnitine/clupanodonyl carnitine$cervonyl carnitine$Timnodonyl carnitine
Omega-6 fatty acid metabolism	1	1	0.02512393916477607	E49	C00219	arachidonic acid
De novo fatty acid biosynthesis	2	11	0.08789177380052096	E370,E49	,C00219	$arachidonic acid
Glycine, serine, alanine and threonine metabolism	1	5	0.0976388538778254	E310		
Arachidonic acid metabolism	1	5	0.0976388538778254	E49	C00219	arachidonic acid
Valine, leucine and isoleucine degradation	1	6	0.10730190740273926	E310		
Butanoate metabolism	1	6	0.10730190740273926	E310		
Vitamin A (retinol) metabolism	2	14	0.10889841189815982	E148,E396	,	$
Glycerophospholipid metabolism	3	25	0.11940173094697924	E136,E111,E49	,C02934/C00319,C00219	$3-Dehydrosphinganine/Sphingosine$arachidonic acid
Vitamin D3 (cholecalciferol) metabolism	0	3	0.12772035963364423			
Hyaluronan Metabolism	0	0	0.12772035963364423			
N-Glycan biosynthesis	0	0	0.12772035963364423			
Glycolysis and Gluconeogenesis	0	0	0.12772035963364423			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.12772035963364423			
R Group Synthesis	0	0	0.12772035963364423			
C5-Branched dibasic acid metabolism	0	0	0.12772035963364423			
Pyruvate Metabolism	0	0	0.12772035963364423			
Sialic acid metabolism	0	2	0.12772035963364423			
Chondroitin sulfate degradation	0	0	0.12772035963364423			
Di-unsaturated fatty acid beta-oxidation	0	3	0.12772035963364423			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.12772035963364423			
Linoleate metabolism	0	8	0.12772035963364423			
Hexose phosphorylation	0	0	0.12772035963364423			
Vitamin B2 (riboflavin) metabolism	0	0	0.12772035963364423			
Squalene and cholesterol biosynthesis	0	8	0.12772035963364423			
Galactose metabolism	0	0	0.12772035963364423			
Keratan sulfate degradation	0	0	0.12772035963364423			
Glycerolipid metabolism	0	0	0.12772035963364423			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.12772035963364423			
Alkaloid biosynthesis II	0	0	0.12772035963364423			
Vitamin B1 (thiamin) metabolism	0	0	0.12772035963364423			
Glycosphingolipid biosynthesis - globoseries	0	0	0.12772035963364423			
Histidine metabolism	0	2	0.12772035963364423			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.12772035963364423			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.12772035963364423			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.12772035963364423			
Bile acid biosynthesis	0	12	0.12772035963364423			
Parathio degradation	0	0	0.12772035963364423			
Propanoate metabolism	0	0	0.12772035963364423			
Blood Group Biosynthesis	0	0	0.12772035963364423			
Electron transport chain	0	0	0.12772035963364423			
Vitamin H (biotin) metabolism	0	3	0.12772035963364423			
Biopterin metabolism	0	0	0.12772035963364423			
Vitamin E metabolism	0	5	0.12772035963364423			
Androgen and estrogen biosynthesis and metabolism	0	0	0.12772035963364423			
Caffeine metabolism	0	0	0.12772035963364423			
Lipoate metabolism	0	3	0.12772035963364423			
Heparan sulfate biosynthesis	0	0	0.12772035963364423			
Drug metabolism - cytochrome P450	0	0	0.12772035963364423			
Vitamin B9 (folate) metabolism	0	0	0.12772035963364423			
Tryptophan metabolism	0	0	0.12772035963364423			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.12772035963364423			
