pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	0	0	0.03789597512814049			
Hyaluronan Metabolism	0	0	0.03789597512814049			
N-Glycan biosynthesis	0	0	0.03789597512814049			
Glycolysis and Gluconeogenesis	0	0	0.03789597512814049			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.03789597512814049			
R Group Synthesis	0	0	0.03789597512814049			
C5-Branched dibasic acid metabolism	0	0	0.03789597512814049			
Pyruvate Metabolism	0	0	0.03789597512814049			
Sialic acid metabolism	0	1	0.03789597512814049			
Chondroitin sulfate degradation	0	0	0.03789597512814049			
Di-unsaturated fatty acid beta-oxidation	0	1	0.03789597512814049			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.03789597512814049			
Linoleate metabolism	0	3	0.03789597512814049			
Hexose phosphorylation	0	0	0.03789597512814049			
Vitamin B2 (riboflavin) metabolism	0	0	0.03789597512814049			
Squalene and cholesterol biosynthesis	0	0	0.03789597512814049			
Galactose metabolism	0	0	0.03789597512814049			
Keratan sulfate degradation	0	0	0.03789597512814049			
Glycerolipid metabolism	0	0	0.03789597512814049			
Carnitine shuttle	0	0	0.03789597512814049			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.03789597512814049			
Alkaloid biosynthesis II	0	0	0.03789597512814049			
Vitamin B1 (thiamin) metabolism	0	0	0.03789597512814049			
Glycosphingolipid biosynthesis - globoseries	0	0	0.03789597512814049			
Histidine metabolism	0	0	0.03789597512814049			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.03789597512814049			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.03789597512814049			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.03789597512814049			
Bile acid biosynthesis	0	4	0.03789597512814049			
Parathio degradation	0	0	0.03789597512814049			
Propanoate metabolism	0	0	0.03789597512814049			
Blood Group Biosynthesis	0	0	0.03789597512814049			
Electron transport chain	0	0	0.03789597512814049			
Vitamin H (biotin) metabolism	0	0	0.03789597512814049			
Biopterin metabolism	0	0	0.03789597512814049			
Vitamin E metabolism	0	0	0.03789597512814049			
Androgen and estrogen biosynthesis and metabolism	0	0	0.03789597512814049			
Glycine, serine, alanine and threonine metabolism	0	0	0.03789597512814049			
Caffeine metabolism	0	0	0.03789597512814049			
Lipoate metabolism	0	0	0.03789597512814049			
Heparan sulfate biosynthesis	0	0	0.03789597512814049			
Drug metabolism - cytochrome P450	0	0	0.03789597512814049			
Vitamin B9 (folate) metabolism	0	0	0.03789597512814049			
Tryptophan metabolism	0	0	0.03789597512814049			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.03789597512814049			
Urea cycle/amino group metabolism	0	0	0.03789597512814049			
De novo fatty acid biosynthesis	0	12	0.03789597512814049			
Vitamin A (retinol) metabolism	0	2	0.03789597512814049			
Valine, leucine and isoleucine degradation	0	0	0.03789597512814049			
Fatty Acid Metabolism	0	5	0.03789597512814049			
Glycosaminoglycan degradation	0	0	0.03789597512814049			
Fatty acid oxidation	0	0	0.03789597512814049			
Fructose and mannose metabolism	0	0	0.03789597512814049			
ROS Detoxification	0	0	0.03789597512814049			
Xenobiotics metabolism	0	2	0.03789597512814049			
Saturated fatty acids beta-oxidation	0	2	0.03789597512814049			
CoA Catabolism	0	0	0.03789597512814049			
Omega-3 fatty acid metabolism	0	0	0.03789597512814049			
Butanoate metabolism	0	0	0.03789597512814049			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.03789597512814049			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.03789597512814049			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	0	0.03789597512814049			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	0	0.03789597512814049			
Geraniol degradation	0	0	0.03789597512814049			
D4&E4-neuroprostanes formation	0	1	0.03789597512814049			
Vitamin D	0	0	0.03789597512814049			
Dynorphin metabolism	0	0	0.03789597512814049			
Heparan sulfate degradation	0	0	0.03789597512814049			
Fatty acid oxidation, peroxisome	0	0	0.03789597512814049			
Polyunsaturated fatty acid biosynthesis	0	2	0.03789597512814049			
Purine metabolism	0	1	0.03789597512814049			
Alanine and Aspartate Metabolism	0	0	0.03789597512814049			
Glutathione Metabolism	0	0	0.03789597512814049			
Keratan sulfate biosynthesis	0	0	0.03789597512814049			
TCA cycle	0	0	0.03789597512814049			
3-Chloroacrylic acid degradation	0	0	0.03789597512814049			
Arachidonic acid metabolism	0	5	0.03789597512814049			
Sphingolipid metabolism	0	0	0.03789597512814049			
O-Glycan biosynthesis	0	0	0.03789597512814049			
Glycosphingolipid metabolism	0	2	0.03789597512814049			
Limonene and pinene degradation	0	0	0.03789597512814049			
Arginine and Proline Metabolism	0	0	0.03789597512814049			
Proteoglycan biosynthesis	0	0	0.03789597512814049			
Vitamin K metabolism	0	0	0.03789597512814049			
