input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row17	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row17	764.52141	16.962	1.0	0.14572881275251737	P18
row22	E3	row22_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine	row22	496.33969	10.5	0.0	0.44633780956972735	P23
row27	E4	row27_M+Na[1+]	tetpent6crn;tetpent3crn	tetracosapentaenoyl carnitine$tetracosapentaenoyl carnitine	row27	524.37105	11.862	1.0	0.22984659488831102	P28
row46	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row46	790.53726	17.158	1.0	0.04414783066815663	P47
row56	E12	row1263_M+H[1+];row56_M+H2O+H[1+]	C11455;C11508;44mctr;C15783	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol$4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol$4,4-dimethylcholesta-8,14,24-trienol$5-Dehydroavenasterol	row56	429.37233	15.204	1.0	-0.21425303012816577	P57
row56	E15	row1263_M-H4O2+H[1+];row1936_M+K[1+];row314_M+Na[1+];row327_M+H[1+];row56_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row56	429.37233	15.204	1.0	-0.21425303012816577	P57
row58	E13	row1406_M+H[1+];row58_M+H2O+H[1+]	C11455;C11508;44mctr;C15783	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol$4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol$4,4-dimethylcholesta-8,14,24-trienol$5-Dehydroavenasterol	row58	429.37233	16.368	1.0	0.21300733372068872	P59
row58	E16	row1406_M-H4O2+H[1+];row196_M+H[1+];row58_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row58	429.37233	16.368	1.0	0.21300733372068872	P59
row72	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row72	792.55353	17.89	1.0	0.4064473829795274	P75
row95	E20	row358_M-H2O+H[1+];row95_M-H4O2+H[1+]	C00422	triacylglycerol	row95	603.53438	19.296	1.0	0.04051561548090951	P98
row98	E22	row214_M-NH3+H[1+];row98_M+H[1+]	C00350	Phosphatidylethanolamine	row98	812.65201	21.395	0.0	-0.5222303637251923	P101
row127	E2	row127_M+H[1+];row1414_M+H[1+];row17_M-C3H4O2+H[1+];row1906_M-NH3+H[1+];row46_M-HCOOH+H[1+];row632_M-HCOOH+H[1+];row72_M-CO2+H[1+];row961_M+Na[1+]	C02737	Phosphatidylserine	row127	836.54346	16.526	1.0	-0.16992688285694968	P136
row190	E27	row190_M-H4O2+H[1+];row1944_M+Na[1+];row995_M+H[1+]	C05452	3alpha,7alpha-Dihydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha-diol	row190	369.35119	15.261	1.0	-0.1502756744728109	P201
row190	E30	row190_M-H2O+H[1+]	C03091;CE2315;C01189;C03845;C00187	5beta-Cholestan-3-one; Coprostan-3-one$cholesta-8(9)-en-3beta-ol$5alpha-Cholest-7-en-3beta-ol; Lathosterol$5alpha-Cholest-8-en-3beta-ol; Zymostenol; Cholestenol$Cholesterol	row190	369.35119	15.261	1.0	-0.1502756744728109	P201
row196	E16	row1406_M-H4O2+H[1+];row196_M+H[1+];row58_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row196	447.38309	16.371	1.0	0.2750832680870257	P207
row214	E22	row214_M-NH3+H[1+];row98_M+H[1+]	C00350	Phosphatidylethanolamine	row214	795.62922	21.394	1.0	-0.26929433093331573	P226
row242	E36	row242_M-H2O+H[1+];row549_M-H2O+H[1+]	C13856	2-Arachidonoylglycerol; 2-Arachidonoyl-sn-glycerol	row242	361.27388	9.639	1.0	0.09684270443595752	P254
row248	E1	row1176_M[1+];row1491_M-C3H4O2+H[1+];row248_M+H[1+];row500_M-NH3+H[1+]	C02737	Phosphatidylserine	row248	836.54406	15.187	1.0	0.25977601629166175	P261
row288	E47	row288_M+Na[1+]	c226crn	cervonyl carnitine	row288	494.32456	9.493	1.0	0.020068815330458994	P304
row310	E56	row310_M-H2O+H[1+]	C00899;C00473	cis-11-retinol$Retinol	row310	269.22708	19.79	1.0	-0.2831529753097473	P327
row310	E71	row310_M+H[1+]	CE5014	anhydroretinol	row310	269.22708	19.79	1.0	-0.2831529753097473	P327
row314	E15	row1263_M-H4O2+H[1+];row1936_M+K[1+];row314_M+Na[1+];row327_M+H[1+];row56_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row314	469.36507	15.195	1.0	-0.13278904395425445	P331
row327	E15	row1263_M-H4O2+H[1+];row1936_M+K[1+];row314_M+Na[1+];row327_M+H[1+];row56_M-H2O+H[1+]	CE5022;CE5835;CE5842	$$13'-hydroxy-alpha-tocopherol	row327	447.38317	15.272	1.0	-0.2343638049430851	P345
row358	E20	row358_M-H2O+H[1+];row95_M-H4O2+H[1+]	C00422	triacylglycerol	row358	621.54518	19.296	1.0	0.04418876117169094	P383
row381	E106	row1803_M+H[1+];row381_M-H4O2+H[1+];row401_M-H2O+H[1+]	C12144	Phytosphingosine; 4-D-Hydroxysphinganine	row381	282.27987	10.395	1.0	-0.15365940311228968	P410
row381	E110	row1803_M+H2O+H[1+];row1842_M-H4O2+H[1+];row2073_M-CO2+H[1+];row381_M-H2O+H[1+];row401_M+H[1+];row977_M+Na[1+]	C02934;C00319	3-Dehydrosphinganine$Sphingosine	row381	282.27987	10.395	1.0	-0.15365940311228968	P410
