fid	Name	Apex m/z	RT [min]	Platform	Mode
P1	A00001	760.58465	19.341	C18	POS
P2	A00002	876.80088	23.952	C18	POS
P3	A00003	782.56882	18.116	C18	POS
P4	A00004	758.56897	18.518	C18	POS
P6	A00007	806.56868	17.913	C18	POS
P7	A00008	874.78481	23.42	C18	POS
P8	A00009	848.76963	23.348	C18	POS
P9	A00010	784.58393	19.02	C18	POS
P10	A00011	810.59934	19.6	C18	POS
P11	A00012	902.81583	23.995	C18	POS
P12	A00013	812.61544	21.49	C18	POS
P13	A00014	703.57457	16.649	C18	POS
P14	A00015	808.58384	18.354	C18	POS
P15	A00016	846.75373	22.872	C18	POS
P16	A00017	850.78588	23.923	C18	POS
P17	A00018	738.64643	16.871	C18	POS
P18	A00020	764.52141	16.962	C18	POS
P19	A00021	872.76922	22.977	C18	POS
P20	A00022	900.80052	23.515	C18	POS
P21	A00023	732.55364	18.061	C18	POS
P22	A00025	820.73836	22.798	C18	POS
P23	A00026	496.33969	10.5	C18	POS
P24	A00027	904.83199	24.673	C18	POS
P25	A00028	832.58431	18.079	C18	POS
N1	A0001	885.54802	16.302	C18	NEG
N2	A0003	804.5751	19.724	C18	NEG
N3	A0006	883.53182	15.792	C18	NEG
N4	A0007	802.55911	18.807	C18	NEG
N5	A0008	762.50662	17.058	C18	NEG
N6	A0009	826.55882	18.392	C18	NEG
N7	A0010	747.5652	16.792	C18	NEG
N8	A0012	540.33037	10.662	C18	NEG
N9	A0013	850.55826	18.167	C18	NEG
N10	A0014	500.27797	9.825	C18	NEG
N11	A0016	819.51703	16.348	C18	NEG
N12	A0017	828.57385	19.224	C18	NEG
N13	A0018	568.36144	11.98	C18	NEG
N14	A0019	887.56249	17.004	C18	NEG
N15	A0020	773.53171	17.523	C18	NEG
N16	A0021	764.52207	17.408	C18	NEG
N17	A0022	465.30387	13.098	C18	NEG
N18	A0023	738.50735	17.228	C18	NEG
N19	A0024	566.34622	10.886	C18	NEG
N20	A0025	854.58935	20.033	C18	NEG
N21	A0026	857.51657	15.592	C18	NEG
N22	A0027	856.60557	21.713	C18	NEG
N23	A0028	480.3093	10.665	C18	NEG
N24	A0029	480.30913	11.502	C18	NEG
N25	A0030	524.2777	9.895	C18	NEG
