Mouse_ID	Treatment	Ig_treated	A12_treated	Batch	Quant
LD2169	A12	Yes	Yes	Batch1	0.8580167462
LD2170	A12	Yes	Yes	Batch1	0.8393798974000001
LD2171	A12	Yes	Yes	Batch1	0.8323438231
LD2243	A12	Yes	Yes	Batch2	0.4249825606
LD2244	A12	Yes	Yes	Batch2	0.9967952271
LD2245	A12	Yes	Yes	Batch2	0.9955355321
LD2162	B1-8	Yes	No	Batch1	0.7949089356
LD2163	B1-8	Yes	No	Batch1	0.6766307690000001
LD2164	B1-8	Yes	No	Batch2	0.906286535
LD2213	B1-8	Yes	No		0.970891487
LD2214	B1-8	Yes	No	Batch1	0.8064980173
LD2215	B1-8	Yes	No	Batch2	0.9130922775
LD2166	PBS	No	No	Batch1	0.13083454120000002
LD2157	PBS	No	No	Batch1	0.3454469278
LD2158	PBS	No	No	Batch2	0.4336849353
LD2223	PBS	No	No	Batch1	0.0451336372
LD2224	PBS	No	No		0.5387603882
LD2225	PBS	No	No	Batch2	0.5959448838
