Seqn	ID	Group	Ig	Control	TMT	Tag	ID_metabo	Quant
LD2169	1	A12	1	0	TMT1	127_C	A12_01	0.8580167462112336
LD2170	2	A12	1	0	TMT1	127_N	A12_02	0.839379897410481
LD2171	3	A12	1	0	TMT1	128_C	A12_03	0.8323438231312016
LD2243	4	A12	1	0	TMT2	127_C	A12_04	0.4249825605544377
LD2244	5	A12	1	0	TMT2	127_N	A12_05	0.9967952271110428
LD2245	6	A12	1	0	TMT2	128_C	A12_06	0.9955355320562348
LD2162	7	B1-8	1	1	TMT1	128_N	B18_01	0.7949089356364684
LD2163	8	B1-8	1	1	TMT1	129_C	B18_02	0.6766307690199558
LD2164	9	B1-8	1	1	TMT2	128_N	B18_03	0.9062865350071824
LD2213	10	B1-8	1	1			B18_04	0.9708914870237362
LD2214	11	B1-8	1	1	TMT1	129_N	B18_05	0.8064980173318356
LD2215	12	B1-8	1	1	TMT2	129_N	B18_06	0.9130922775243132
LD2166	13	PBS	0	1	TMT1	130_C	CTRL_01	0.1308345411846551
LD2157	14	PBS	0	1	TMT1	130_N	CTRL_02	0.3454469277895533
LD2158	15	PBS	0	1	TMT2	130_C	CTRL_03	0.4336849353438536
LD2223	16	PBS	0	1	TMT1	131	CTRL_04	0.0451336372457457
LD2224	17	PBS	0	1			CTRL_05	0.5387603881907806
LD2225	18	PBS	0	1	TMT2	131	CTRL_06	0.5959448837556465
