(+) GERMACRENE A	Germacrene
(+)-(1E,4E,6S,7R)-GERMACRA-1(10),4-DIEN-6-OL	Germacra-dien-ol
(+)-(2S,3R,9R)-PRISTINOL	Pristinol
(+)-(3S,4R)-CIS-3,4-DIHYDROXY-3,4-DIHYDROFLUORENE	Dihydroxy-dihydrofluorene
(+)-1(10)-ARISTOLENE	Aristolene
(+)-1(9),10-PACIFIGORGIADIENE	Pacifigorgiadiene
(+)-12-HYDROXY-9Z-HEXADECENOIC ACID	hydroxy-hexadecenoate
(+)-14,15-EPOXY-THAPSAN-14-OL	Epoxy-thapsan-ol
(+)-15S-HYDROXY-HEXADECANOIC ACID	hydroxy-hexadecanoate
(+)-2-HIMACHALEN-7-OL	Himachalen-ol
(+)-2-STERPURENE	Sterpurene
(+)-2-STERPURENE-6,12,15-TRIOL	Sterpurene-triol
(+)-24-METHYL-HEXACOSANOIC ACID	methyl-hexacosanoate
(+)-3-CARENE	Carene
(+)-4-CARENE	Carene
(+)-5-EPI-ARISTOLOCHENE	epi-aristolochene
(+)-6(13)-ZIZENE	Zizene
(+)-6-EXO-HYDROXYCAMPHOR	Hydroxycamphor
(+)-6-HYDROXY-2,6-DIMETHYL-7-OCTEN-4-ONE	Hydroxy-dimethyl-octen-one
(+)-8'-HYDROXYABSCISIC ACID	hydroxyabscisate
(+)-8-DAUCEN-5-OL	Daucen-ol
(+)-A-PINENE	Pinene
(+)-ALPHA-BARBATENE	Barbatene
(+)-ALPHA-LONGIPINENE	Longipinene
(+)-ALPHA-MUUROLENE	Muurolene
(+)-ALPHA-PINENE	Pinene
(+)-ALPHA-PINGUISENE	Pinguisene
(+)-ALPHA-SANTALENE	Santalene
(+)-ALPHA-THUJENE	thujene
(+)-ARISTOLOCHENE	aristolochene
(+)-ARTEMISINIC ACID	artemisinate
(+)-ASCHANTIN	Aschantin
(+)-BETA-CARYOPHYLLENE	Caryophyllene
(+)-BETA-CEDRENE	Cedrene
(+)-BETA-CHAMIGRENE	Chamigrene
(+)-BETA-ISOLONGIBORNENE	Isolongibornene
(+)-BETA-PHELLANDRENE	Phellandrene
(+)-BETA-PINENE	Pinene
(+)-BETA-SELINENE	selinene
(+)-BETA-THUJONE	thujone
(+)-BORNEOL	Borneol
(+)-CALYCANTHINE	Calycanthine
(+)-CAMPHOR	Camphor
(+)-CARYOLAN-1-OL	Caryolan-ol
(+)-CEDROL	Cedrol
(+)-CIS,CIS-NEPETALACTOL	Nepetalactol
(+)-CIS-CARVEOL	Carveol
(+)-CIS-CHRYSANTHEMIC ACID	chrysanthemate
(+)-CIS-ISOPULEGONE	Isopulegone
(+)-CIS-LINALOOL 3,7-OXIDE	Linalool oxide
(+)-CIS-SABINOL	sabinol
(+)-COMPHENE	Comphene
(+)-CORVOL ETHER A	Corvol ether
(+)-CORVOL ETHER B	Corvol ether
(+)-CP 47,497	CP 47,497
(+)-CUBENENE	Cubenene
(+)-DELTA-CADINENE	Cadinene
(+)-DELTA-SELINENE	selinene
(+)-ECHINOISOFLAVANONE	Echinoisoflavanone
(+)-ENDO-BETA-BERGAMOTENE	Bergamotene
(+)-EPI-ALPHA-BISABOLOL	epi-Bisabolol
(+)-EPI-ISOZIZAENE	epi-isozizaene
(+)-EPICUBENOL	Epicubenol
(+)-EREMOPHILENE	Eremophilene
(+)-EXO-5-HYDROXYCAMPHOR	hydroxycamphor
(+)-GAMMACERANE	Gammacerane
(+)-GERMACRENE D	Germacrene
(+)-GUAIA-6,9-DIENE	guaia-diene
(+)-HIRUSTEN-12-OIC ACID	Hirusten-oate
(+)-IRIDODIAL	Iridodial
(+)-ISOAFRICANOL	Isoafricanol
(+)-ISOBORNEOL	Isoborneol
(+)-ISOMENTHONE	Isomenthone
(+)-LEDENE	Ledene
(+)-LIMONENE	Limonene
(+)-LONGIFOLENE	longifolene
(+)-MARMASMIC ACID	Marmasmate
(+)-MAYURONE	Mayurone
(+)-MENTHONE	Menthone
(+)-NEOMATATABIOL	Neomatatabiol
(+)-PIPERITONE	Piperitone
(+)-PREZIZENE	Prezizene
(+)-PULEGONE	Pulegone
(+)-QUEBRACHIDINE	Quebrachidine
(+)-SABINENE	sabinene
(+)-SATIVENE	Sativene
(+)-SCELETIUM A4	Sceletium
(+)-SYRINGARESINOL	Syringaresinol
(+)-T-MUUROLOL	T-Muurolol
(+)-THUJAN-3-OL	Thujan-ol
(+)-THUJOPSENE	Thujopsene
(+)-TRANS-4(11),8-AUCADIENE	aucadiene
(+)-TRANS-ALPHA-IRONE	Irone
(+)-TRANS-CARVEOL	Carveol
(+)-TRANS-PIPERITENOL	Piperitenol
(+)-TRANS-PULEGOL	Pulegol
(+)-VALENCENE	Valencene
(+)N-(1S-METHYL-PROPYL) ARACHIDONOYL AMINE	(methyl-propyl) arachidonoyl amine
(+)TAN-67	TAN-67
(+/-) 5-IPF2ALPHA-VI-(D11)	VI-
(+/-)-(E)-2-OCTEN-4-OL	Octen-ol
(+/-)-2,2'-IMINOBISPROPANOIC ACID	Iminobispropanoate
(+/-)-2-(2-FURANYL)PYRROLIDINE	(Furanyl)pyrrolidine
(+/-)-2-(5-METHYL-5-VINYLTETRAHYDROFURAN-2-YL)PROPIONALDEHYDE	(Methyl-vinyltetrahydrofuran-yl)propionaldehyde
(+/-)-2-HYDROXY-2-PHENYLACETONITRILE	Hydroxy-phenylacetonitrile
(+/-)-2-HYDROXY-3-(2-HYDROXYPHENYL)PROPANOIC ACID	Hydroxy-(hydroxyphenyl)propanoate
(+/-)-2-PENTANOL ACETATE	Pentanol acetate
(+/-)-2-PROPYLTHIAZOLIDINE	Propylthiazolidine
(+/-)-3-(4-HYDROXYPHENYL)-1,2-PROPANEDIOL 4'-O-GLUCOSIDE	(Hydroxyphenyl)-glucoside
(+/-)-4-METHYLENE-2-PYRROLIDINECARBOXYLIC ACID	Methylene-pyrrolidinecarboxylate
(+/-)-6-METHYL-5-HEPTEN-2-YL ACETATE	Methyl-hepten-yl acetate
(+/-)-ASARINOL B	Asarinol
(+/-)-CIS-LINALYL OXIDE	Linalyl oxide
(+/-)-CP 47,497	CP 47,497
(+/-)-DIHYDROFARNESOL	Dihydrofarnesol
(+/-)-DIHYDROMINTLACTONE	Dihydromintlactone
(+/-)-ETHYL 2-HYDROXY-3-METHYLVALERATE	Ethyl hydroxy-methylvalerate
(+/-)-JWH 073 N-(3-HYDROXYBUTYL) METABOLITE	JWH 073 (hydroxybutyl) metabolite
(+/-)-MENTHYL ACETATE	Menthyl acetate
(+/-)-MYRTENYL ACETATE	Myrtenyl acetate
(+/-)-THREO-1-(P-HYDROXYPHENYL)PROPYLENE GLYCOL 4'-GLUCOSIDE	threo-(Hydroxyphenyl)propylene glucoside
(+/-)-THREO-ANETHOLE GLYCOL	threo-Anethole glycol
(+/-)-TRANS-LINALYL OXIDE	Linalyl oxide
(+/-)-TRYPTOPHAN	Tryptophan
(+/-)10-GINGEROL	Gingerol
(+/-)12(13)-EPOME	EpOME
(+/-)13-HODE	HODE
(+/-)9-HODE	HODE
(+/-)LIMONENE	Limonene
(+/-)N-(2-FLURO-ETHYL)-2,16,16-TRIMETHYL-5Z,8Z,11Z,14Z-DOCOSATETRAENOYL AMINE	(fluro-ethyl)-trimethyl-docosatetraenoyl amine
(+/-)N-(2-FLURO-ETHYL)-2,17,17-TRIMETHYL-5Z,8Z,11Z,14Z-DOCOSATETRAENOYL AMINE	(fluro-ethyl)-trimethyl-docosatetraenoyl amine
(-)-(Z)-TETRAHYDRO-6-(2-PENTENYL)-2H-PYRAN-2-ONE	Tetrahydro-(pentenyl)-pyran-one
(-)-1(6),10-PACIFIGORGIADIENE	Pacifigorgiadiene
(-)-1,2-CAMPHOLIDE	campholide
(-)-1-SILPHINENE	Silphinene
(-)-11-HYDROXY-9,15,16-TRIOXOOCTADECANOIC ACID	Hydroxy-trioxooctadecanoate
(-)-11-NOR-9-CARBOXY-?9-THC	nor-carboxy-THC
(-)-3,5-CADINADIENE	Cadinadiene
(-)-3-CARENE	Carene
(-)-3-CYANOMETHYL-3-HYDROXY-1H-INDOL-2(3H)-ONE	Cyanomethyl-hydroxy-indol-one
(-)-3-THUJENE	Thujene
