Name	inHouse_ID	ID
$l^{1}-oxidanylmethylbenzene		mdm-198
((1r,4r)-4-isopropylcyclohexane-1-carbonyl)-d-phenylalanine		mdm-949
(+)-(2r,3s)-5,7,3',4'-tetrahydroxyflavan-3-ol		mdm-746
(+)-(2r:3s)-5,7,3',4'-tetrahydroxyflavan-3-ol		mdm-746
(+)-2-(3,4-dihydroxyphenyl)-3,5,7-chromantriol		mdm-746
(+)-2-hydroxy-3-indol-3-yl-propionate	cnic_29	
(+)-2-hydroxy-3-indol-3-yl-propionic acid	cnic_29	
(+)-3',4',5,7-tetrahydroxy-2,3-trans-flavan-3-ol		mdm-746
(+)-3-p-chlorphenyl-3-pyrid-2'-ylpropyl)dimethylamin		mdm-793
(+)-a-hydroxy-1h-indole-3-propanoate	cnic_29	
(+)-a-hydroxy-1h-indole-3-propanoic acid	cnic_29	
(+)-a-hydroxy-1h-indole-3-propionate	cnic_29	
(+)-a-hydroxy-1h-indole-3-propionic acid	cnic_29	
(+)-alpha-hydroxy-1h-indole-3-propanoate	cnic_29	
(+)-alpha-hydroxy-1h-indole-3-propanoic acid	cnic_29	
(+)-alpha-hydroxy-1h-indole-3-propionate	cnic_29	
(+)-alpha-hydroxy-1h-indole-3-propionic acid	cnic_29	
(+)-alpha-phenylpropionic acid	cnic_15	
(+)-ascorbate		mdm-109
(+)-ascorbic acid		mdm-109
(+)-biotin		mdm-351
(+)-catechin		mdm-746
(+)-catechin 1000 microg/ml in acetone		mdm-746
(+)-catechin hydrate		mdm-746
(+)-catechin hydrate(1:x)		mdm-746
(+)-catechin hydrate, >=96.0% (sum of enantiomers, hplc)		mdm-746
(+)-catechin hydrate, >=98% (hplc), powder		mdm-746
(+)-catechin monohydrate		mdm-746
(+)-catechin, analytical standard		mdm-746
(+)-catechin, pharmaceutical secondary standard; certified reference material		mdm-746
(+)-catechin, united states pharmacopeia (usp) reference standard		mdm-746
(+)-catechin,(s)		mdm-746
(+)-catechol		mdm-746
(+)-chenodeoxycholate	cnic_101	
(+)-chenodeoxycholate	cnic_102	
(+)-chenodeoxycholate	cnic_100	
(+)-chenodeoxycholate	cnic_99	
(+)-chenodeoxycholic acid	cnic_99	
(+)-chenodeoxycholic acid	cnic_100	
(+)-chenodeoxycholic acid	cnic_102	
(+)-chenodeoxycholic acid	cnic_101	
(+)-chlorogenic acid		mdm-106
(+)-chlorpheniramine		mdm-793
(+)-cianidanol		mdm-746
(+)-cis-hexahydro-2-oxo-1h-thieno[3,4]imidazole-4-valerate		mdm-351
(+)-cis-hexahydro-2-oxo-1h-thieno[3,4]imidazole-4-valeric acid		mdm-351
(+)-cyanidan-3-ol		mdm-746
(+)-cyanidanol		mdm-746
(+)-cyanidanol-3		mdm-746
(+)-cyanidol-3		mdm-746
(+)-n,n-dimethyl-(3-(4-chlorphenyl)-3-(2-pyridyl)propyl)amin		mdm-793
(+)-pantothenate		mdm-444
