Identifier	Experimental mass	Name	Formula	Adduct	Molecular Weight	mz Error (ppm)	ionizationScore	finalScore	hmdb_compound	hmdb_uri	lipidmaps_compound	lipidmaps_uri	metlin_compound	metlin_uri	pubchem_compound	pubchem_uri	inChiKey	pathways	cas	_TPIDX
1858	760.58465	PC(16:1(9Z)/18:0)	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008003	http://www.hmdb.ca/metabolites/HMDB0008003	LMGP01011483	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01011483	59451.0	https://metlin.scripps.edu/metabo_info.php?molid=59451	52922448	https://pubchem.ncbi.nlm.nih.gov/compound/52922448	LJUDFFWSOQEQKW-QCFYSATCSA-N	[]	N/A	0
1363	760.58465	PC(16:0/18:1(11Z))	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0007971	http://www.hmdb.ca/metabolites/HMDB0007971	LMGP01010576	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01010576	59420.0	https://metlin.scripps.edu/metabo_info.php?molid=59420	24778688	https://pubchem.ncbi.nlm.nih.gov/compound/24778688	AEPVLLKGEBHLEJ-KWNHIAGJSA-N	[]	N/A	1
77146	760.58465	PE(15:0/22:1(13Z))	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008908	http://www.hmdb.ca/metabolites/HMDB0008908	N/A	N/A	60351.0	https://metlin.scripps.edu/metabo_info.php?molid=60351	53479578	https://pubchem.ncbi.nlm.nih.gov/compound/53479578	MUWFEEOSXPAQIY-LQOXNGKESA-N	[]	N/A	2
2162	760.58465	PC(20:0/14:1(9Z))	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008263	http://www.hmdb.ca/metabolites/HMDB0008263	LMGP01011787	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01011787	59709.0	https://metlin.scripps.edu/metabo_info.php?molid=59709	52923053	https://pubchem.ncbi.nlm.nih.gov/compound/52923053	HUTFJQFEXOTHFG-LLVYEJTBSA-N	[]	N/A	3
163699	760.58465	PC(16:0/18:1(11Z))[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39319.0	https://metlin.scripps.edu/metabo_info.php?molid=39319	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	4
163700	760.58465	PC(16:0/18:1(6Z))[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39322.0	https://metlin.scripps.edu/metabo_info.php?molid=39322	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	5
163701	760.58465	PC(16:0/18:1(9E))[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39324.0	https://metlin.scripps.edu/metabo_info.php?molid=39324	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	6
163702	760.58465	PC(16:0/18:1(9Z))[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39326.0	https://metlin.scripps.edu/metabo_info.php?molid=39326	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	7
163703	760.58465	PC(16:1(7Z)/18:0)[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39420.0	https://metlin.scripps.edu/metabo_info.php?molid=39420	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	8
163704	760.58465	PC(16:1(9Z)/18:0)[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39427.0	https://metlin.scripps.edu/metabo_info.php?molid=39427	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	9
163705	760.58465	PC(18:1(9E)/16:0)[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39615.0	https://metlin.scripps.edu/metabo_info.php?molid=39615	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	10
163706	760.58465	PC(18:1(9Z)/16:0)[U]	C42H82NO8P	M+H	759.577805117	1	-2	-2	N/A	N/A	N/A	N/A	39626.0	https://metlin.scripps.edu/metabo_info.php?molid=39626	0	https://pubchem.ncbi.nlm.nih.gov/compound/0	N/A	[]	N/A	11
2182	760.58465	PC(20:1(11Z)/14:0)	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008295	http://www.hmdb.ca/metabolites/HMDB0008295	LMGP01011807	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01011807	59741.0	https://metlin.scripps.edu/metabo_info.php?molid=59741	52923093	https://pubchem.ncbi.nlm.nih.gov/compound/52923093	WSBNPWBHAOQZJF-OIJJMQLXSA-N	[]	N/A	12
1439	760.58465	PC(18:0/16:1(9Z))	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008035	http://www.hmdb.ca/metabolites/HMDB0008035	LMGP01010744	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01010744	59483.0	https://metlin.scripps.edu/metabo_info.php?molid=59483	24778811	https://pubchem.ncbi.nlm.nih.gov/compound/24778811	QRSPNOMDLRZDPG-QCFYSATCSA-N	[]	N/A	13
108496	760.58465	PE(22:1(13Z)/15:0)	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0009516	http://www.hmdb.ca/metabolites/HMDB0009516	N/A	N/A	60905.0	https://metlin.scripps.edu/metabo_info.php?molid=60905	53479854	https://pubchem.ncbi.nlm.nih.gov/compound/53479854	REDKBACMQCHVMH-LQOXNGKESA-N	[]	N/A	14
1747	760.58465	PC(14:0/20:1(11Z))	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0007879	http://www.hmdb.ca/metabolites/HMDB0007879	LMGP01011372	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01011372	59329.0	https://metlin.scripps.edu/metabo_info.php?molid=59329	52922226	https://pubchem.ncbi.nlm.nih.gov/compound/52922226	DMEBDXIQFIKNQR-OIJJMQLXSA-N	[]	N/A	15
2520	760.58465	PC(18:1(11Z)/16:0)	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008067	http://www.hmdb.ca/metabolites/HMDB0008067	LMGP01012146	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01012146	59514.0	https://metlin.scripps.edu/metabo_info.php?molid=59514	53478717	https://pubchem.ncbi.nlm.nih.gov/compound/53478717	WPAONTMCEBPEAF-KWNHIAGJSA-N	[]	N/A	16
1516	760.58465	PC(18:1(9Z)/16:0)	C42H82NO8P	M+H	759.577805117	1	-2	-2	HMDB0008100	http://www.hmdb.ca/metabolites/HMDB0008100	LMGP01010884	http://www.lipidmaps.org/data/LMSDRecord.php?LMID=LMGP01010884	59547.0	https://metlin.scripps.edu/metabo_info.php?molid=59547	24778933	https://pubchem.ncbi.nlm.nih.gov/compound/24778933	RRVPPYNAZJRZFR-VYOBOKEXSA-N	[]	N/A	17
