Experimental mass	Identifier	Adduct	mz Error (ppm)	Molecular Weight	Name	Peptide	Halogenated	Plant	NaturalProduct	MDM	Drug	Food	Formula	Score 1	CAS	Kegg	HMDB	LipidMaps	Metlin	PubChem	InChIKey	SMILES	Pathways	Unnamed: 20	Unnamed: 21	_TPIDX
128.0455	157439	M+H	0	127.0382	Amino-imidazole carboxylate								C4H5N3O2	N/A	N/A	C05516	N/A	N/A	63404.0	117.0	PWCLNQLPYQVWAB-UHFFFAOYSA-N	Nc1[nH]cnc1C(=O)O	Purine Metabolism	Metabolic pathways	N/A	166
128.0455	129087	M+H	0	127.0382	Methyl-nitroimidazole								C4H5N3O2	N/A	N/A	C16621	HMDB0060659	N/A	1193.0	18209.0	HSCOLDQJZRZQMV-UHFFFAOYSA-N	CN1C=NC(=C1)[N+]([O-])=O	Drug metabolism - other enzymes	N/A	N/A	167
128.0455	154220	M+2H	6	254.078	Arginine phosphate								C6H15N4O5P	N/A	N/A	C05945	N/A	N/A	N/A	92150.0	CCTIOCVIZPCTGO-BYPYZUCNSA-N	N=C(NCCC[C@H](N)C(=O)O)NP(=O)(O)O	Arginine and Proline Metabolism	N/A	N/A	168
128.0455	44590	M+2H	6	254.078	Phosphoarginine								C6H15N4O5P	N/A	1189-11-3	N/A	HMDB0029438	N/A	63475.0	440551.0	CCTIOCVIZPCTGO-UHFFFAOYSA-N	NC(CCCNC(=N)NP(O)(O)=O)C(O)=O	N/A	N/A	N/A	169
136.0481	104773	M+Na	0	113.0589	Creatinine								C4H7N3O	N/A	60-27-5	C00791	HMDB0000562	N/A	8.0	588.0	DDRJAANPRJIHGJ-UHFFFAOYSA-N	CN1CC(=O)NC1=N	Arginine and Proline Metabolism	Metabolic pathways	N/A	254
136.0481	162236	M+Na	0	113.0589	(Nitrosomethylamino)propionitrile								C4H7N3O	N/A	60153-49-3	C19280	N/A	N/A	72998.0	62163.0	HZDLDFBKYBGNHG-UHFFFAOYSA-N	CN(CCC#N)N=O	N/A	N/A	N/A	255
136.0505	167712	M+2H	5	270.0852	Chloramphenicol alcohol								C11H14N2O6	N/A	23885-72-5	N/A	N/A	N/A	638.0	N/A	N/A	N/A	N/A	N/A	N/A	105
136.0505	157832	M+2H	5	270.0852	Clitidine				NP				C11H14N2O6	N/A	63592-84-7	C19977	N/A	N/A	73464.0	N/A	FYEBWHCXONMZDU-ZYUZMQFOSA-N	N=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1C(=O)O	N/A	N/A	N/A	106
136.0505	159999	M+2H	4	270.0877	Cadusafos								C10H23O2PS2	N/A	95465-99-9	C18395	N/A	N/A	72204.0	91752.0	KXRPCFINVWWFHQ-UHFFFAOYSA-N	CCOP(=O)(SC(C)CC)SC(C)CC	N/A	N/A	N/A	107
136.0505	160100	M+2H	7	270.0883	Nitenpyram		x		NP		Drug		C11H15ClN4O2	N/A	150824-47-8	C18511	N/A	N/A	72317.0	3034287.0	CFRPSFYHXJZSBI-DHZHZOJOSA-N	CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC	N/A	N/A	N/A	108
136.0505	188450	M+2H	10	270.0892	Anhydroasperflavin								C16H14O4	N/A	N/A	N/A	N/A	N/A	N/A	53440463.0	LIERHHLUYBZDDS-UHFFFAOYSA-N	CC1=CC(=C2C(=C1)CC3=CC(=CC(=C3C2=O)OC)O)O	N/A	N/A	N/A	109
136.0505	162375 ; 17002	M+2H	10	270.0892	Pinostrobin			Plant	NP				C16H14O4	N/A	480-37-5	C16419	N/A	LMPK12140216	64202.0	73201.0	ORJDDOBAOGKRJV-AWEZNQCLSA-N ; ORJDDOBAOGKRJV-UHFFFAOYSA-N	COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O ; COc1cc2OC(CC(=O)c2c(O)c1)c1ccccc1	Flavonoid biosynthesis	N/A	N/A	110 ; 138
136.0505	159437 ; 12375	M+2H	10	270.0892	Medicarpin			Plant	NP				C16H14O4	N/A	33983-39-0	C01729 ; C10503	N/A	LMPK12070028	48117.0	73067.0 ; 336327.0	NSRJSISNDPOJOP-CZUORRHYSA-N ; NSRJSISNDPOJOP-BBRMVZONSA-N	COc1ccc2c(c1)O[C@@H]1c3ccc(O)cc3OC[C@H]21 ; COc1cc2O[C@@H]3[C@@H](COc4cc(O)ccc43)c2cc1	Biosynthesis of secondary metabolites	Biosynthesis of phenylpropanoids	Isoflavonoid biosynthesis	111 ; 135
136.0505	59648 ; 144478 ; 133067	M+2H	10	270.0892	hydroxy-(methoxyphenyl)-dihydro-benzopyran-one								C16H14O4	N/A	N/A	N/A	HMDB0130388 ; HMDB0132860 ; HMDB0133301	N/A	N/A	131836532.0 ; 131836889.0 ; 131837234.0	GGQVNWUSOPKTTG-UHFFFAOYSA-N ; GNCWVKDFWQPEOV-UHFFFAOYSA-N ; QLBDCTULFKHTMI-UHFFFAOYSA-N	COC1=CC=CC(=C1)C1COC2=C(C=CC(O)=C2)C1=O ; COC1=C(O)C=C2OCC(C(=O)C2=C1)C1=CC=CC=C1 ; COC1=C(O)C2=C(C=C1)C(=O)CC(O2)C1=CC=CC=C1	N/A	N/A	N/A	112 ; 115 ; 117
136.0505	112657	M+2H	10	270.0892	(dihydroxy-methoxyphenyl)-phenylprop-en-one								C16H14O4	N/A	N/A	N/A	HMDB0133975	N/A	N/A	122463450.0	SYVRRIJAJHSVEI-VQHVLOKHSA-N	[H]\C(=C(\[H])C1=CC=CC=C1)C(=O)C1=C(O)C(O)=C(OC)C=C1	N/A	N/A	N/A	113
136.0505	86323	M+2H	10	270.0892	(hydroxyphenyl)-methoxy-dihydro-benzopyran-one								C16H14O4	N/A	N/A	N/A	HMDB0130377	N/A	N/A	131836527.0	YIESBSIOLOKHNW-UHFFFAOYSA-N	COC1=CC2=C(C=C1)C(=O)C(CO2)C1=CC(O)=CC=C1	N/A	N/A	N/A	114
136.0505	16243	M+2H	10	270.0892	Larrein								C16H14O4	N/A	N/A	N/A	HMDB0133977	LMPK12120145	51949.0	9993268.0	RMVZCGQXCSTLFG-VQHVLOKHSA-N	[H]\C(=C(\[H])C1=CC=CC=C1)C(=O)C1=C(O)C(OC)=C(O)C=C1	N/A	N/A	N/A	116
136.0505	16343	M+2H	10	270.0892	Cardamonin								C16H14O4	N/A	N/A	N/A	HMDB0132913	LMPK12120245	52049.0	641785.0	NYSZJNUIVUBQMM-BQYQJAHWSA-N	[H]C(=C([H])C1=CC=CC=C1)C(=O)C1=C(O)C=C(O)C=C1OC	N/A	N/A	N/A	118
136.0505	16876	M+2H	10	270.0892	Hydroxy-methoxyflavanone								C16H14O4	N/A	N/A	N/A	HMDB0133289	LMPK12140089	52579.0	42607832.0	FYIPCBNZSKNQSP-UHFFFAOYSA-N	COC1=C(O)C=CC2=C1OC(CC2=O)C1=CC=CC=C1	N/A	N/A	N/A	119
136.0505	101654	M+2H	10	270.0892	Imperatorin				NP		Drug	Food	C16H14O4	N/A	482-44-0	C09269	HMDB0034376	N/A	67564.0	10212.0	OLOOJGVNMBJLLR-UHFFFAOYSA-N	CC(C)=CCOC1=C2OC(=O)C=CC2=CC2=C1OC=C2	N/A	N/A	N/A	120
136.0505	145709	M+2H	10	270.0892	Methylpinosylvate							Food	C16H14O4	N/A	N/A	N/A	HMDB0040868	N/A	95323.0	67322417.0	PICDNGANOHNCPT-BQYQJAHWSA-N	COC1=CC(O)=C(C(O)=O)C(\C=C\C2=CC=CC=C2)=C1	N/A	N/A	N/A	121
136.0505	16196	M+2H	10	270.0892	Isoliquiritigenin methy ether			Plant	NP			Food	C16H14O4	N/A	N/A	C15531	HMDB0037319	LMPK12120098	51903.0	5319688.0	PACBGANPVNHGNP-RUDMXATFSA-N	COC1=C(C=CC(O)=C1)C(=O)\C=C\C1=CC=C(O)C=C1	N/A	N/A	N/A	122
136.0505	75095	M+2H	10	270.0892	Dimethoxy-phenanthrenediol								C16H14O4	N/A	N/A	N/A	HMDB0031612	N/A	87807.0	44572330.0	YKFWCNBTQYCJQV-UHFFFAOYSA-N	COC1=C(O)C=C2C=CC3=CC(O)=CC(OC)=C3C2=C1	N/A	N/A	N/A	123
