FeatureInfo_Name	Apex m/z	RT [min]	C18_2000n	C18_2001n	C18_2002n	C18_2003n	C18_2004n	C18_2005n	C18_2006n	C18_2007n	C18_2008n	C18_2009n	C18_2010n	C18_2101n	C18_2201n	C18_2202n	C18_2203n	C18_2204n	C18_2205n	C18_2301n	C18_2401n	C18_2402n	C18_2403n	C18_2404n	C18_2405n	C18_2406n	C18_2407n	C18_2408n	C18_2409n	C18_2410n	C18_2501n	C18_2601n	C18_2602n	C18_2603n	C18_2604n	C18_2605n	C18_C1901n	C18_C2001n	C18_C2002n	C18_C2003n	C18_C2004n	C18_C2005n	C18_C2006_n	C18_C2007n	C18_C2008n	C18_C2009n	C18_C2010n	C18_C2101n	C18_C2201n	C18_C2202n	C18_C2203n	C18_C2204n	C18_C2205n	C18_C2206n	C18_C2301n	C18_C2401n	C18_C2402n	C18_C2403n	C18_C2404n	C18_C2405n	C18_C2406n	C18_C2407n	C18_C2408n	C18_C2409n	C18_C2410n	C18_C2501n	C18_C2601n	C18_C2602n	C18_C2603n	C18_C2604n	C18_C2605n	C18_C2606_n
A0401	117.05551	0.397	1.002532177	0.993012019	0.993865273	1.011227088	1.006851295	1.051054791	1.032226952	1.048685573	1.006775437	0.988408048	1.013759364	1.004964698	1.011703178	1.004941379	0.99306666	1.013921458	1.026625005	0.995749298	0.997397442	1.008457753	1.023809164	1.010798264	1.056613278	1.012181312	1.051969224	1.022001592	1.008671968	1.011646837	0.977251348	1.021559269	1.001041526	1.009807093	1.026068925	1.012833013	1.014730562	1.145562955	1.013358184	0.984098855	1.181519632	0.986365539	1.149418081	0.977718905	1.159318591	1.006570887	1.140050944	1.17106526	1.17007507	1.158677593	1.153711023	1.143816968	1.002221567	0.981832773	1.019134773	1.004139786	1.012908815	1.011581368	1.015482456	1.022024134	1.027812104	1.002683266	1.00540568	1.020760698	1.006399472	0.986267817	0.989338273	1.002749882	0.988327712	0.995822897	1.002352105	0.984438292
A0230	129.05569	0.412	0.98260813	1.010149197	1.004984713	1.025444096	0.997680925	1.02777435	0.992324332	1.012304711	1.006715219	1.004485171	0.995391354	1.003228951	0.969362986	0.994683931	1.003315564	0.979450322	0.975444228	0.954711043	1.001225357	1.008457655	1.015984148	1.0102166	1.02307847	1.017814794	1.044290376	1.023490549	1.011856941	0.994102777	1.0220428	0.989444656	0.997680841	1.004630451	1.002384841	0.999379781	0.987282364	0.986649078	1.008508785	0.986473864	0.990082598	1.001441656	0.986356568	0.989012739	0.985225328	1.004746989	0.977288581	0.99271685	1.006431111	0.993190246	1.011580971	0.997861042	1.011044376	1.011714703	1.002068916	0.99065486	1.017860152	1.001526742	1.002116579	1.007812512	1.005230121	0.985664534	0.990009977	1.005065304	1.003147568	1.003110417	0.99318092	1.012560637	0.994888264	1.015913362	1.004104119	1.009519987
A0181	383.15342	4.163	1.039355879	1.039592119	1.069749082	1.059813612	1.051701954	1.051599743	1.060939181	1.021526526	1.07253282	1.105940932	1.031309479	1.063315124	0.987173742	1.122380967	0.961552151	1.076717662	1.062464446	1.035741053	1.011230595	1.015870659	1.026607234	1.064660008	1.058051211	1.009420543	0.981579598	1.051609618	1.02192591	0.998449367	1.021566857	1.034798825	1.097882891	0.973928968	1.056523224	1.020845988	1.079171203	1.031132095	1.067712156	0.999556306	1.013648115	1.027992	1.003376714	1.078084888	1.011623617	1.010171355	0.964841199	1.077082374	1.056518241	0.969644916	1.157350852	0.980883153	0.999630366	0.994019992	1.113523877	1.062518376	1.051482903	0.989164176	1.069805064	1.043319957	1.049318986	1.058824874	1.005119821	1.034391735	0.96171699	1.034516182	0.977247507	1.039494503	1.001381939	1.156146046	0.991867287	0.933465517
A0217	369.17404	5.107	1.01879743	1.013682241	0.934888049	0.958312013	1.052481349	0.987458176	1.042659628	1.051403297	1.101870048	1.050431824	0.956899917	0.96397783	0.991753978	1.040792896	0.965180877	0.942409016	0.989859212	1.007923977	1.001691149	0.976410111	0.963778927	1.081435854	0.990718785	1.007713883	1.040862784	1.104116056	1.036615496	0.957709297	0.931896888	0.99432872	1.050188539	0.961025207	0.977087129	0.957202382	1.071283358	0.954238859	1.020835812	0.975899083	0.996517755	0.945732529	1.039217461	0.965210741	0.959468525	1.008810045	0.915262209	1.039187283	1.036140051	0.952763784	0.978280741	0.920544157	0.94728964	1.045463617	1.105846582	0.94379712	0.994891724	1.007212262	0.948648915	0.947272085	1.000330339	0.966242057	0.930957329	1.003783067	0.921501405	1.007804126	1.02913383	0.961344699	0.969698635	0.984251292	0.903470225	0.951092014
A0142	583.2549	6.715	1.067343418	1.008889076	0.930647227	1.075226918	1.016879196	1.057598388	1.032139064	1.109512304	1.042754399	1.053432676	1.017208238	0.930077536	1.037974036	1.092346031	1.067679514	1.021080514	1.016846062	1.056657297	1.031680669	1.023540287	1.031703004	1.11120872	1.055588838	1.035427344	1.127332695	1.060558238	1.052191794	1.005211273	0.937679732	1.015787896	1.040537571	1.091662355	1.045769475	0.983288986	1.054707453	0.99537199	1.031991471	1.051210262	1.062006479	1.059613717	0.99518937	1.045241411	1.00231617	1.010763809	1.017716406	1.069199455	1.039229465	0.936765868	1.01455976	0.944549781	1.024648279	0.956009282	1.033408671	0.94827831	1.029420766	1.001285397	1.035147421	1.048584418	0.950664424	1.013293429	0.939693921	1.005976352	1.021940845	0.948920634	1.007951518	1.020640184	0.940642582	0.947011294	0.911419151	1.007092303
A0515	223.13396	6.885	1.016883771	0.986423329	0.975822248	1.021535937	0.989214227	0.990850531	1.0822026	1.010796791	1.116322588	0.960819654	0.966604686	1.020762922	1.02839982	1.017465462	0.969167273	1.007791289	1.013578407	1.050607171	1.026098772	0.998935174	1.050556525	1.046797555	1.052986484	1.038295255	1.052637216	1.060547373	1.027884283	1.024176564	1.053094071	1.062807021	1.059854536	1.017142142	1.056638823	0.992843169	1.02829336	0.991942229	1.029046945	0.98813222	1.018175912	0.964488934	1.056699313	1.014619465	0.974084351	1.085369378	0.98048281	1.00631646	1.011471995	0.995311352	0.983485657	1.024751059	0.99377482	0.988306028	1.013603684	1.000359917	1.066723012	0.958575997	1.017190125	0.988154296	1.026582984	1.014317472	1.018663478	1.033452507	1.007896916	1.044985407	1.004427098	0.995613234	1.025543142	0.976608338	1.033277062	0.97250916
A0132	631.23947	7.664	1.043001953	0.920778929	0.897189165	1.029591349	0.923386281	1.071964745	0.974876881	1.082200818	1.119953434	0.979600053	0.920070002	1.003611053	0.987237562	1.060515439	0.916804866	0.94787399	1.005880296	1.061409903	0.946349621	0.954739404	0.948434217	1.091847774	1.103535235	1.057050424	1.212887383	1.070067784	0.995917722	0.939734218	0.985955743	0.99768288	0.987675971	1.05397664	1.016981479	0.997825088	1.002953905	0.947613752	1.017993696	1.025948247	1.049945732	1.066568655	0.943387381	0.948753351	1.005101965	0.94466011	1.013089831	1.00275977	1.001330301	0.985062668	0.995927653	0.904235757	0.998119801	0.944610489	1.007513624	1.003730685	0.964280668	0.947143948	1.0448692	1.100465237	0.936795358	1.022793194	0.945439027	0.935083217	1.004299129	0.913048483	0.952285104	1.087184105	0.976585866	0.941606076	0.90983707	1.00889549
A0124	512.26821	8.148	1.047264038	1.020537548	0.94495881	1.021394299	1.03643048	0.94654665	0.997482964	1.05314839	1.005230687	1.001385306	0.942308434	1.058796302	0.957843514	0.997452674	0.896441041	1.041427532	0.891498348	1.045750021	0.941288718	0.884390912	1.058426521	0.993684071	1.06599972	1.014301975	1.010721909	0.984574541	0.953991521	0.921583634	0.890025751	0.992135432	0.911474988	0.892616779	1.039681963	0.93007662	0.925087432	1.062176224	1.045200887	1.032407072	1.083594901	0.974765199	1.017159941	0.983167446	1.090388327	0.925267742	0.975331741	1.027318065	0.914802501	0.976126594	1.068236511	0.976867542	0.941639251	0.976738686	0.988385435	1.051585226	1.109424433	1.06461193	1.062037134	0.99358267	1.012438029	0.90650226	1.071549777	0.997251305	1.014552379	1.043996983	1.018713516	0.964997004	0.97640325	1.122174987	0.979726908	0.956563507
A0413	250.14504	9.07	1.008956494	0.996612189	1.003106869	1.001846203	0.998410282	1.04669879	1.035055647	1.051264308	1.006754036	0.989698706	1.00579761	0.956492904	0.984001739	0.995996104	0.966352589	1.042593092	1.031366881	1.005785469	1.014121416	0.983951844	0.9995456	0.990210432	1.029926143	1.003826554	1.017986091	0.999288047	1.008304894	0.969554817	0.985990391	1.030525002	0.997235709	1.019753143	0.994543866	1.012034443	1.024225152	0.982216234	1.003240669	0.958728706	0.948003966	0.960968524	1.026584566	0.959588276	0.974957029	0.969199822	0.952267646	0.967656303	0.964600881	0.941399585	1.00198831	0.961081567	0.968713598	0.969154443	0.977268436	1.017025085	1.020079205	0.945396852	0.963393726	0.986774437	0.979308757	0.987638194	0.951376531	0.964510874	0.978638738	0.944129232	0.946899569	0.971753177	0.965628514	1.003378503	0.953983427	1.089744138
A0157	378.24131	9.148	1.01643055	1.040157639	1.047101705	1.084748068	0.960267718	1.085481678	1.045434023	1.062466697	1.05413416	1.041979758	1.087823742	1.094016344	1.040735355	1.043065216	1.040718015	1.035619073	1.037535492	1.057480461	1.0519811	1.047297237	1.079551582	1.045470741	1.100526656	1.054628227	1.086286417	1.05861678	1.057212795	1.096895048	1.058460966	1.062970092	1.043071278	1.066075427	1.068012977	1.02485563	1.034621947	1.070553534	1.0544776	1.095111175	1.057358601	1.040325638	1.064580989	1.034046973	1.023480365	1.042460734	1.02690059	1.041272609	1.048743336	1.056409317	1.054426291	1.000108554	1.020370501	1.056234791	1.044300428	1.072669575	1.04574966	1.037872939	1.031355124	1.022448705	1.054156741	1.032735486	1.034089065	1.019684	1.069047419	1.034405806	1.047309524	1.049444282	1.052766984	1.044475866	1.036651614	1.023757769
