FeatureInfo_Name	Apex m/z	RT [min]	Identifier	Adduct	mz Error (ppm)	Molecular Weight	Name	Peptide	Halogenated	Plant	NaturalProduct	MDM	Drug	Food	Formula	TP_Class	TP_Class_argmax	TP_corr1_score	TP_corr2_score	TP_Adduct_Score	TP_max_corr2	TP_max_corr2_Apex	TPMetrics	TPMetrics_rank	C18_2000n	C18_2001n	C18_2002n	C18_2003n	C18_2004n	C18_2005n	C18_2006n	C18_2007n	C18_2008n	C18_2009n	C18_2010n	C18_2101n	C18_2201n	C18_2202n	C18_2203n	C18_2204n	C18_2205n	C18_2301n	C18_2401n	C18_2402n	C18_2403n	C18_2404n	C18_2405n	C18_2406n	C18_2407n	C18_2408n	C18_2409n	C18_2410n	C18_2501n	C18_2601n	C18_2602n	C18_2603n	C18_2604n	C18_2605n	C18_C1901n	C18_C2001n	C18_C2002n	C18_C2003n	C18_C2004n	C18_C2005n	C18_C2006_n	C18_C2007n	C18_C2008n	C18_C2009n	C18_C2010n	C18_C2101n	C18_C2201n	C18_C2202n	C18_C2203n	C18_C2204n	C18_C2205n	C18_C2206n	C18_C2301n	C18_C2401n	C18_C2402n	C18_C2403n	C18_C2404n	C18_C2405n	C18_C2406n	C18_C2407n	C18_C2408n	C18_C2409n	C18_C2410n	C18_C2501n	C18_C2601n	C18_C2602n	C18_C2603n	C18_C2604n	C18_C2605n	C18_C2606_n
A0401	117.05551	0.397	165908 // 165911 // 165909 // 165910 // 165912 // 165035 // 165036 // 100204 // 31664 // 136005	M-H	2.0	118.063	Hydroxyisopentanoate // Hydroxypentanoate // Methyl3-hydroxybutyrate // Ethyl-hydroxypropionate // Hydroxy-methyl-[R-]-butanoate // hydroxy-methylbutanoate // LMSD{ WE 5:0;O } // Diethyl carbonate								C5H10O3	WE	WE	[-0.0]	[-0.0]	[0.0]	[nan]	[nan]	0.0	4	1.002532177	0.993012019	0.993865273	1.011227088	1.006851295	1.051054791	1.032226952	1.048685573	1.006775437	0.988408048	1.013759364	1.004964698	1.011703178	1.004941379	0.99306666	1.013921458	1.026625005	0.995749298	0.997397442	1.008457753	1.023809164	1.010798264	1.056613278	1.012181312	1.051969224	1.022001592	1.008671968	1.011646837	0.977251348	1.021559269	1.001041526	1.009807093	1.026068925	1.012833013	1.014730562	1.145562955	1.013358184	0.984098855	1.181519632	0.986365539	1.149418081	0.977718905	1.159318591	1.006570887	1.140050944	1.17106526	1.17007507	1.158677593	1.153711023	1.143816968	1.002221567	0.981832773	1.019134773	1.004139786	1.012908815	1.011581368	1.015482456	1.022024134	1.027812104	1.002683266	1.00540568	1.020760698	1.006399472	0.986267817	0.989338273	1.002749882	0.988327712	0.995822897	1.002352105	0.984438292
A0401	117.05551	0.397	164055 // 26909 // 26910 // 26912 // 26916 // 26919 // 26688 // 26689 // 26691 // 26979 // 26992 // 26993 // 26911 // 26913 // 26914 // 26690	M-H	2.0	118.063	LMSD{ FA 5:0;O }				NP		Drug	Food	C5H10O3	FA	FA	[-0.0]	[0.012804180599234844]	[12.0]	[0.044038141894847345]	[129.05569]	11.892676138793242	1	1.002532177	0.993012019	0.993865273	1.011227088	1.006851295	1.051054791	1.032226952	1.048685573	1.006775437	0.988408048	1.013759364	1.004964698	1.011703178	1.004941379	0.99306666	1.013921458	1.026625005	0.995749298	0.997397442	1.008457753	1.023809164	1.010798264	1.056613278	1.012181312	1.051969224	1.022001592	1.008671968	1.011646837	0.977251348	1.021559269	1.001041526	1.009807093	1.026068925	1.012833013	1.014730562	1.145562955	1.013358184	0.984098855	1.181519632	0.986365539	1.149418081	0.977718905	1.159318591	1.006570887	1.140050944	1.17106526	1.17007507	1.158677593	1.153711023	1.143816968	1.002221567	0.981832773	1.019134773	1.004139786	1.012908815	1.011581368	1.015482456	1.022024134	1.027812104	1.002683266	1.00540568	1.020760698	1.006399472	0.986267817	0.989338273	1.002749882	0.988327712	0.995822897	1.002352105	0.984438292
A0401	117.05551	0.397	99659	M-H	2.0	118.063	Ethyl lactate				NP			Food	C5H10O3			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[129.05569]	0.012676138793242496	2	1.002532177	0.993012019	0.993865273	1.011227088	1.006851295	1.051054791	1.032226952	1.048685573	1.006775437	0.988408048	1.013759364	1.004964698	1.011703178	1.004941379	0.99306666	1.013921458	1.026625005	0.995749298	0.997397442	1.008457753	1.023809164	1.010798264	1.056613278	1.012181312	1.051969224	1.022001592	1.008671968	1.011646837	0.977251348	1.021559269	1.001041526	1.009807093	1.026068925	1.012833013	1.014730562	1.145562955	1.013358184	0.984098855	1.181519632	0.986365539	1.149418081	0.977718905	1.159318591	1.006570887	1.140050944	1.17106526	1.17007507	1.158677593	1.153711023	1.143816968	1.002221567	0.981832773	1.019134773	1.004139786	1.012908815	1.011581368	1.015482456	1.022024134	1.027812104	1.002683266	1.00540568	1.020760698	1.006399472	0.986267817	0.989338273	1.002749882	0.988327712	0.995822897	1.002352105	0.984438292
A0401	117.05551	0.397	161706 // 48234 // 137848 // 33733 // 46579	M+HCOOH-H	3.0	72.0575	Epoxybutane // Tetrahydrofuran // Methylpropanal // Butan-one // Butanal								C4H8O			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[129.05569]	0.01251608653575206	3	1.002532177	0.993012019	0.993865273	1.011227088	1.006851295	1.051054791	1.032226952	1.048685573	1.006775437	0.988408048	1.013759364	1.004964698	1.011703178	1.004941379	0.99306666	1.013921458	1.026625005	0.995749298	0.997397442	1.008457753	1.023809164	1.010798264	1.056613278	1.012181312	1.051969224	1.022001592	1.008671968	1.011646837	0.977251348	1.021559269	1.001041526	1.009807093	1.026068925	1.012833013	1.014730562	1.145562955	1.013358184	0.984098855	1.181519632	0.986365539	1.149418081	0.977718905	1.159318591	1.006570887	1.140050944	1.17106526	1.17007507	1.158677593	1.153711023	1.143816968	1.002221567	0.981832773	1.019134773	1.004139786	1.012908815	1.011581368	1.015482456	1.022024134	1.027812104	1.002683266	1.00540568	1.020760698	1.006399472	0.986267817	0.989338273	1.002749882	0.988327712	0.995822897	1.002352105	0.984438292
A0401	117.05551	0.397	94508 // 99389 // 85457	M+HCOOH-H	3.0	72.0575	Dimethyloxirane // Buten-ol							Food	C4H8O			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[129.05569]	0.01251608653575206	3	1.002532177	0.993012019	0.993865273	1.011227088	1.006851295	1.051054791	1.032226952	1.048685573	1.006775437	0.988408048	1.013759364	1.004964698	1.011703178	1.004941379	0.99306666	1.013921458	1.026625005	0.995749298	0.997397442	1.008457753	1.023809164	1.010798264	1.056613278	1.012181312	1.051969224	1.022001592	1.008671968	1.011646837	0.977251348	1.021559269	1.001041526	1.009807093	1.026068925	1.012833013	1.014730562	1.145562955	1.013358184	0.984098855	1.181519632	0.986365539	1.149418081	0.977718905	1.159318591	1.006570887	1.140050944	1.17106526	1.17007507	1.158677593	1.153711023	1.143816968	1.002221567	0.981832773	1.019134773	1.004139786	1.012908815	1.011581368	1.015482456	1.022024134	1.027812104	1.002683266	1.00540568	1.020760698	1.006399472	0.986267817	0.989338273	1.002749882	0.988327712	0.995822897	1.002352105	0.984438292
A0230	129.05569	0.412	157519 // 152179 // 165050 // 164058 // 149236 // 162267 // 45112 // 94328 // 27033 // 27034 // 27036 // 27035 // 32192 // 25549 // 25550 // 25554 // 118950 // 113591 // 84671 // 148711	M-H	0.0	130.063	Hydroxyhexan-olide // Hydroxyethyl methacrylate // Dihydroxyhexanoate lactone // methyl-oxo-Pentanoate // Oxa-oxo-hydroxycycloheptane // Ketoleucine // Mevalonolactone // LMSD{ FA 6:1;O } // Adipate semialdehyde // Ethoxy-dihydro-2furanone // Ethyl-oxobutanoate // Methyl-ketopentanoate								C6H10O3	FA	FA	[-0.0]	[0.012804180599234844]	[12.0]	[0.044038141894847345]	[117.05551]	12.012804180599234	1	0.98260813	1.010149197	1.004984713	1.025444096	0.997680925	1.02777435	0.992324332	1.012304711	1.006715219	1.004485171	0.995391354	1.003228951	0.969362986	0.994683931	1.003315564	0.979450322	0.975444228	0.954711043	1.001225357	1.008457655	1.015984148	1.0102166	1.02307847	1.017814794	1.044290376	1.023490549	1.011856941	0.994102777	1.0220428	0.989444656	0.997680841	1.004630451	1.002384841	0.999379781	0.987282364	0.986649078	1.008508785	0.986473864	0.990082598	1.001441656	0.986356568	0.989012739	0.985225328	1.004746989	0.977288581	0.99271685	1.006431111	0.993190246	1.011580971	0.997861042	1.011044376	1.011714703	1.002068916	0.99065486	1.017860152	1.001526742	1.002116579	1.007812512	1.005230121	0.985664534	0.990009977	1.005065304	1.003147568	1.003110417	0.99318092	1.012560637	0.994888264	1.015913362	1.004104119	1.009519987
A0230	129.05569	0.412	156859 // 50316	M-H	0.0	130.063	Pantolactone				NP				C6H10O3			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[117.05551]	0.012804180599234844	2	0.98260813	1.010149197	1.004984713	1.025444096	0.997680925	1.02777435	0.992324332	1.012304711	1.006715219	1.004485171	0.995391354	1.003228951	0.969362986	0.994683931	1.003315564	0.979450322	0.975444228	0.954711043	1.001225357	1.008457655	1.015984148	1.0102166	1.02307847	1.017814794	1.044290376	1.023490549	1.011856941	0.994102777	1.0220428	0.989444656	0.997680841	1.004630451	1.002384841	0.999379781	0.987282364	0.986649078	1.008508785	0.986473864	0.990082598	1.001441656	0.986356568	0.989012739	0.985225328	1.004746989	0.977288581	0.99271685	1.006431111	0.993190246	1.011580971	0.997861042	1.011044376	1.011714703	1.002068916	0.99065486	1.017860152	1.001526742	1.002116579	1.007812512	1.005230121	0.985664534	0.990009977	1.005065304	1.003147568	1.003110417	0.99318092	1.012560637	0.994888264	1.015913362	1.004104119	1.009519987
A0230	129.05569	0.412	120950 // 100761 // 85486	M-H	0.0	130.063	Methyl levulinate // Tetrahydro-hydroxy-methyl-pyran-one // Sherry lactone				NP			Food	C6H10O3			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[117.05551]	0.012804180599234844	2	0.98260813	1.010149197	1.004984713	1.025444096	0.997680925	1.02777435	0.992324332	1.012304711	1.006715219	1.004485171	0.995391354	1.003228951	0.969362986	0.994683931	1.003315564	0.979450322	0.975444228	0.954711043	1.001225357	1.008457655	1.015984148	1.0102166	1.02307847	1.017814794	1.044290376	1.023490549	1.011856941	0.994102777	1.0220428	0.989444656	0.997680841	1.004630451	1.002384841	0.999379781	0.987282364	0.986649078	1.008508785	0.986473864	0.990082598	1.001441656	0.986356568	0.989012739	0.985225328	1.004746989	0.977288581	0.99271685	1.006431111	0.993190246	1.011580971	0.997861042	1.011044376	1.011714703	1.002068916	0.99065486	1.017860152	1.001526742	1.002116579	1.007812512	1.005230121	0.985664534	0.990009977	1.005065304	1.003147568	1.003110417	0.99318092	1.012560637	0.994888264	1.015913362	1.004104119	1.009519987
A0230	129.05569	0.412	110292	M-H	0.0	130.063	Acetoin acetate							Food	C6H10O3			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[117.05551]	0.012804180599234844	2	0.98260813	1.010149197	1.004984713	1.025444096	0.997680925	1.02777435	0.992324332	1.012304711	1.006715219	1.004485171	0.995391354	1.003228951	0.969362986	0.994683931	1.003315564	0.979450322	0.975444228	0.954711043	1.001225357	1.008457655	1.015984148	1.0102166	1.02307847	1.017814794	1.044290376	1.023490549	1.011856941	0.994102777	1.0220428	0.989444656	0.997680841	1.004630451	1.002384841	0.999379781	0.987282364	0.986649078	1.008508785	0.986473864	0.990082598	1.001441656	0.986356568	0.989012739	0.985225328	1.004746989	0.977288581	0.99271685	1.006431111	0.993190246	1.011580971	0.997861042	1.011044376	1.011714703	1.002068916	0.99065486	1.017860152	1.001526742	1.002116579	1.007812512	1.005230121	0.985664534	0.990009977	1.005065304	1.003147568	1.003110417	0.99318092	1.012560637	0.994888264	1.015913362	1.004104119	1.009519987
A0230	129.05569	0.412	165858 // 80151 // 42806 // 65595 // 33718 // 33724 // 33754 // 120796 // 159412	M+HCOOH-H	0.0	84.0575	Pentyn-ol // Cyclopentanone // Tiglic aldehyde // Methyl-butenal // pentene-one // penten-one // Methyl-buten-one // Epoxy-methylbut-ene								C5H8O			[-0.0]	[0.012804180599234844]	[0.0]	[0.044038141894847345]	[117.05551]	0.012804180599234844	2	0.98260813	1.010149197	1.004984713	1.025444096	0.997680925	1.02777435	0.992324332	1.012304711	1.006715219	1.004485171	0.995391354	1.003228951	0.969362986	0.994683931	1.003315564	0.979450322	0.975444228	0.954711043	1.001225357	1.008457655	1.015984148	1.0102166	1.02307847	1.017814794	1.044290376	1.023490549	1.011856941	0.994102777	1.0220428	0.989444656	0.997680841	1.004630451	1.002384841	0.999379781	0.987282364	0.986649078	1.008508785	0.986473864	0.990082598	1.001441656	0.986356568	0.989012739	0.985225328	1.004746989	0.977288581	0.99271685	1.006431111	0.993190246	1.011580971	0.997861042	1.011044376	1.011714703	1.002068916	0.99065486	1.017860152	1.001526742	1.002116579	1.007812512	1.005230121	0.985664534	0.990009977	1.005065304	1.003147568	1.003110417	0.99318092	1.012560637	0.994888264	1.015913362	1.004104119	1.009519987
